,annual_return,annual_volatility,excess_return_vs_equal_weight,excess_return_vs_sp500,sharpe,sortino,max_drawdown,time_to_recover_months,monthly_var_5pct,monthly_cvar_5pct
BL,0.20389564823102535,0.15792438952933208,0.04378009175454495,0.05543987168029313,1.0378108708825131,2.0533288346152623,-0.19314372943952995,5.0,-0.048514659901537555,-0.07100608325544075
MVO Min Vol,0.1946853127316665,0.15021966925498606,0.0345697562551861,0.04622953618093428,1.0297274218404806,2.0498940383702156,-0.18001897498406272,4.0,-0.04651556080626887,-0.06773752194678766
HRP,0.18947713511256448,0.14776883097202498,0.029361578636084074,0.041021358561832255,1.0115606527391618,2.0290673562882886,-0.17802626719062264,5.0,-0.04559223255120365,-0.06646433042382374
NCO,0.1931484941447555,0.14952210843926617,0.033032937668275086,0.04469271759402327,1.0242531739509433,2.0549306424642744,-0.17927842525447313,4.0,-0.046275512972379224,-0.06728259115807503
Equal Weight,0.1601155564764804,0.11560115055663167,0.0,0.011659779925748182,1.039051565647153,1.6650374469261888,-0.1617953678085151,4.0,-0.04598224427590239,-0.060444190132622
S&P 500,0.14845577655073222,0.1445144849755028,-0.011659779925748182,0.0,0.7504837772429316,1.1289987304894247,-0.2392716160817241,15.0,-0.061655364981124006,-0.08365114444321839
