Date,BL,MVO Min Vol,HRP,NCO,Equal Weight,S&P 500
2010-02-01,1.0142345908602772,1.013122826408774,1.0130847227122792,1.0132404745420442,1.0109784265181387,1.0155508709456218
2010-02-02,1.0211946583305405,1.0198445566062893,1.0195099178019145,1.0198903306122686,1.0204019250817589,1.0278422117368151
2010-02-03,1.0152962138303097,1.0137140173728907,1.0137997668945815,1.0139590183518254,1.0155501110069327,1.0227209067777603
2010-02-04,0.9843501404553585,0.9851989163574904,0.9855640154923088,0.9852775493867117,0.9916384710489943,0.991153436336094
2010-02-05,0.9870358303485762,0.9877558869155459,0.9881266671667169,0.9878219742752776,0.9945463693613631,0.9932024520584443
2010-02-08,0.9755256232508172,0.9768371320850423,0.9772956964923545,0.9769010858383227,0.9840473793867174,0.9860320364272838
2010-02-09,0.9941012815789937,0.9942475339224353,0.9946462282056253,0.9943876125292145,0.9972930139807925,0.998416997677339
2010-02-10,0.9893414515114026,0.9894271939088771,0.9901262652593373,0.9897105979130519,0.9930508051345174,0.9964614125143397
2010-02-11,1.0133412086579594,1.0124211580717297,1.0128776034024745,1.012730736312279,1.0054769908723036,1.0068907886013956
2010-02-12,1.013844271229808,1.0129340804939932,1.0133317491096778,1.013176276849057,1.0069452908093046,1.0060525721603897
2010-02-16,1.0213061356005722,1.0198107223809278,1.0198815004480026,1.020039754431124,1.015124138271939,1.0218828802362652
2010-02-17,1.0362348515235524,1.0341632567559758,1.034395974465839,1.0344756971771072,1.0204603533317147,1.0267253177635989
2010-02-18,1.0334815981580805,1.0316103040162181,1.0319179885461185,1.0320691344494013,1.0222339819318864,1.0327780798234998
2010-02-19,1.0404285102785307,1.0387077083999063,1.0387247162656816,1.0390070106072402,1.0250635090741012,1.0349190069091139
2010-02-22,1.0325849093405195,1.031034003530757,1.0312386035659633,1.0314280107046319,1.0225539651580116,1.0351058680278158
2010-02-23,1.0253057028361676,1.0245726534903792,1.0246088301107772,1.0247460781831375,1.016818503227821,1.0225346153575914
2010-02-24,1.0311250538128314,1.03056689103614,1.0303581818810728,1.0306402035293625,1.0236964061143827,1.031939673482983
2010-02-25,1.0409002501699036,1.0401920711854864,1.0396605720525138,1.0401547609766342,1.0276163349286123,1.0305427726809804
2010-02-26,1.04221476516445,1.0415279699897335,1.040882293260064,1.0414543110206478,1.0274701603492915,1.0311946977018172
2010-03-01,1.0589913427916837,1.0580697703023323,1.0572446063501983,1.057951996663465,1.0365336161643302,1.0419034159693714
2010-03-02,1.0672323663222083,1.0656792495897887,1.0646713339991036,1.0655671105819084,1.0420706524139163,1.0447902683337058
2010-03-03,1.0708054432872587,1.0690399738557947,1.0680745700978236,1.0689787842054326,1.040957782082477,1.045721155736019
2010-03-04,1.0684731755519372,1.067068853350638,1.0659070118210414,1.066883141546258,1.0448106638048957,1.0488873502808518
2010-03-05,1.076089612495191,1.074379663273553,1.0733105809722285,1.0743587465499689,1.0528116373515726,1.0638796318152322
2010-03-08,1.0786753568186778,1.0769288065167932,1.0760871660899967,1.0769932233528288,1.0532661234306235,1.0640653535368687
2010-03-09,1.0711296663592196,1.0697680184257836,1.0690036023222902,1.0699015111160124,1.050523355590508,1.0658348371792097
2010-03-10,1.0682839740984587,1.0670422187922008,1.0663751953387843,1.0671832839603432,1.0543169086043185,1.0705842239462142
2010-03-11,1.0652676784006465,1.0640599010437952,1.0632458931509308,1.064140046516362,1.0535952703624392,1.0750534139849215
2010-03-12,1.0675791398398566,1.0666780931846394,1.0657764435205652,1.0666357251554883,1.0537373134200678,1.0751466546447614
2010-03-15,1.0715112809264988,1.0704692742466766,1.0694887859743396,1.0704700868919732,1.0551889424095209,1.075425806925749
2010-03-16,1.0851033534190446,1.0834292117393358,1.081927168065711,1.0832656801721419,1.0656665710044826,1.083993123358912
2010-03-17,1.0856431368214259,1.0842279022803907,1.082587920385619,1.0839342340491513,1.0693502143754212,1.0904178985606185
2010-03-18,1.0871452047899839,1.085471597412295,1.083716703501583,1.0852198141406402,1.0708905505309618,1.0898594040991327
2010-03-19,1.0867361869361667,1.0855687528553142,1.0838963434524538,1.0852543294573738,1.0692382507079627,1.084342633408679
2010-03-22,1.0972601743054038,1.0959876938885695,1.0942414602023056,1.0955830443432202,1.073712757218018,1.0901400755762072
2010-03-23,1.1136999494151143,1.111869860176667,1.1100873568301468,1.111463088064678,1.0791664082147507,1.0978071733780634
2010-03-24,1.0958072635869922,1.0942923761413301,1.0934099484829232,1.0942523664149741,1.0659377402205659,1.0924777385550888
2010-03-25,1.0862784024895147,1.0846756750722384,1.0839860548058875,1.0847662450247255,1.0601837466899902,1.09070113368109
2010-03-26,1.0884572451578345,1.0864359316944074,1.0855280839879144,1.0865029206850314,1.0624152488452796,1.0900465500671008
2010-03-29,1.097936057890087,1.0957846870228218,1.0948788079235883,1.0959116045926225,1.069766876653991,1.0969656336956173
2010-03-30,1.0907717011154365,1.0890349699991535,1.0881087788105108,1.0890861596003734,1.065787558710509,1.0977139327182235
2010-03-31,1.0812153614234083,1.079433089996962,1.078387348656943,1.0794252063572638,1.0613406558288265,1.0939735770022578
2010-04-01,1.089897018981554,1.0872932821711325,1.0859859262742404,1.0872983958826554,1.0676963332297729,1.1014538136854122
2010-04-05,1.1031547327986624,1.0993073642657245,1.0982249969243785,1.0995286792453847,1.0728046690001478,1.1104296989162246
2010-04-06,1.1042742119796016,1.1006021301034508,1.099569952240219,1.100821021584801,1.0716660883651281,1.1130477485229142
2010-04-07,1.106214252656232,1.1026693854015854,1.1013371624939006,1.1027445033483707,1.073688181115961,1.1066899128987915
2010-04-08,1.1061331725047694,1.1026259640934624,1.10130097440309,1.1027013940419794,1.0768842087683261,1.1105233193750865
2010-04-09,1.1220886874809735,1.116208161187214,1.114180630998017,1.115948646629184,1.1081552680229563,1.11781688483905
2010-04-12,1.1198329393598005,1.1144058791875626,1.1121917831037078,1.1140275714688146,1.108699801547147,1.1195932048637827
2010-04-13,1.115363633087558,1.1101758832445754,1.1078685193856355,1.1097184382869103,1.1062760579733122,1.1204344596969626
2010-04-14,1.1210655650125543,1.1150703692821946,1.1127845527209275,1.114653312310802,1.113678050378916,1.133151175392518
2010-04-15,1.1311222978170792,1.1245530162912873,1.1221848987028906,1.124130928860218,1.1158097141370922,1.1340860506845598
2010-04-16,1.1175010592424182,1.1121704298805863,1.1100137619972026,1.1116517779483672,1.1036568082355085,1.1160400900655407
2010-04-19,1.1222220922709336,1.1164996961326488,1.1142578907788256,1.1159946085034782,1.1071215539921437,1.1202475036285058
2010-04-20,1.133286144261644,1.126942447507865,1.1243482808907939,1.126334373654371,1.1169345283802323,1.1302525492585098
2010-04-21,1.1484253287511903,1.1413684675685822,1.1381765467941778,1.1405692019807543,1.1292587938019307,1.128195177957681
2010-04-22,1.1642430596912838,1.1563033045370237,1.1530916009095646,1.1554611701808428,1.1352394433222248,1.1315610518381998
2010-04-23,1.178046656690861,1.1691788426574714,1.1658381085459257,1.1683867464949207,1.1413809692573302,1.1389477630122478
2010-04-26,1.1793423242633783,1.1706881701904808,1.1674052459014883,1.1698573582194176,1.1377307134212218,1.1346466340406658
2010-04-27,1.148252224483482,1.140764353990013,1.1373807143362937,1.1398411080287836,1.1237083004778947,1.1078117442592914
2010-04-28,1.1518159475537504,1.1439133410743454,1.1406978180631038,1.143109641109437,1.1280413370207054,1.1162269511842429
2010-04-29,1.1817511110836978,1.172199332247916,1.168331457234723,1.171105085974532,1.1473260819792668,1.1300651184412756
2010-04-30,1.1592749322878626,1.1510436292580633,1.1469993494018722,1.1498367744737394,1.1357369640423978,1.1108972315120018
2010-05-03,1.1633246122993255,1.155009401314853,1.1506362825053478,1.153741017927046,1.1428972144081646,1.1252968366729388
2010-05-04,1.1387819881030101,1.131951423405007,1.1274403366469912,1.1304876073624777,1.124308669012258,1.0988354792294572
2010-05-05,1.1253530996834353,1.119008713306433,1.1145015515250594,1.1175196991643395,1.1166358614116576,1.0922904026876108
2010-05-06,1.123274378297722,1.1173432773322498,1.1121582703273467,1.1155191054644924,1.101011840290706,1.0560120950796477
2010-05-07,1.1127604887931035,1.1068070866446835,1.1022055554142625,1.1052512417114624,1.0923302688349619,1.0403035125902436
2010-05-10,1.1413136803134305,1.1342627294416967,1.1294485239488752,1.132782741604575,1.1201774263292783,1.0861195231319454
2010-05-11,1.1503395502358706,1.1422937295879758,1.13732531534065,1.1408889256313148,1.119110063660531,1.083033845979724
2010-05-12,1.1764350426517152,1.1672685669508314,1.1622251896844562,1.165903073274723,1.1303288799707978,1.0981811804647346
2010-05-13,1.1616612871836818,1.1533927992696351,1.148465409585464,1.1519947426524835,1.121028132208168,1.0845298743264038
2010-05-14,1.1466038740003917,1.1392994794607516,1.13406481773939,1.1376553671652119,1.1103318794349704,1.0648943598515985
2010-05-17,1.145915873502257,1.1385784071957288,1.1333831444089095,1.1369337657787668,1.1113869257088125,1.0654553230067256
2010-05-18,1.132350903789207,1.1258208784818815,1.1204756703652428,1.1240147810891212,1.102545133828634,1.0509629519347259
2010-05-19,1.1287808215818393,1.1230637366045613,1.1178159561476553,1.121123579977309,1.1039445326827864,1.0449783637992296
2010-05-20,1.0989931970429523,1.0947114719363447,1.0896375574744306,1.0926073550440598,1.0764803626124424,1.0055205686806723
2010-05-21,1.1120420976744412,1.1079858952984007,1.1024421562102307,1.1057530233071637,1.0953280754382666,1.0202002756201511
2010-05-24,1.10266885507054,1.0981521321534007,1.0928191261482947,1.0960716396603971,1.0808625932003437,1.0071102174862139
2010-05-25,1.1046115802119025,1.099438895345558,1.0939283383846887,1.0972240324324698,1.0847318713506058,1.0081389031366284
2010-05-26,1.1035662326450384,1.0980133884939007,1.0926416264162515,1.095879609321936,1.0816963246161029,1.0020609793915365
2010-05-27,1.1342599054304021,1.1271927252779412,1.1218867801838062,1.1252181805831543,1.1068064429766376,1.0356282815822362
2010-05-28,1.1240264066522885,1.1170240906404656,1.111866884440784,1.1150573467539227,1.0977959554891379,1.0226314641081389
2010-06-01,1.1107121362781593,1.1042728358422227,1.0990415677656207,1.1022093028421753,1.0833414906715464,1.0054274229705875
2010-06-02,1.1189262510733653,1.1118196027000196,1.1065671472766072,1.110134715120342,1.098764525176186,1.0316079190374838
2010-06-03,1.11968385105942,1.1128382977258233,1.1078533253103002,1.1110803392054485,1.0999553779866627,1.0351607489864598
2010-06-04,1.0946394768379522,1.0894435087149539,1.084322691970149,1.0867572834598003,1.0781869965573048,0.9987884411206133
2010-06-07,1.0834372838236912,1.0785762780309915,1.0733261593309003,1.0760144182015883,1.0664974991916407,0.9863525868016433
2010-06-08,1.095890395636597,1.0904347058186905,1.0850055919541586,1.0881381758650077,1.0775913140336375,0.9969186905365299
2010-06-09,1.0895385753718672,1.084528099287846,1.0793017072333,1.0821258474390492,1.0717029319783256,0.9915886860150226
2010-06-10,1.0961767113247065,1.090747901098559,1.0858431779372053,1.0886992253561187,1.0859344194768519,1.0205742827068214
2010-06-11,1.0972263063377137,1.0917873986533413,1.0863672623898486,1.0896705434581975,1.0922244736645867,1.025530090242148
2010-06-14,1.1068028185722396,1.1006320156866445,1.0955430372312467,1.098376669234268,1.086865567128861,1.0239406313361172
2010-06-15,1.1181394933605224,1.1109377993440017,1.1054878442977505,1.10932661162814,1.1036503869993182,1.0472226911685159
2010-06-16,1.1118512645508503,1.105396158726206,1.0999218810894456,1.1034803886762026,1.1003234397417772,1.0468483992325794
2010-06-17,1.1089847603737997,1.1026904444874595,1.0968289641501376,1.1009380985126362,1.0991291563077303,1.0485315735472274
2010-06-18,1.1064616449758011,1.10016240716819,1.09433288872712,1.0986362872783764,1.1008142475143525,1.0496681221198192
2010-06-21,1.1023183492108395,1.096824346393327,1.091304571734996,1.094838953604689,1.098654758338456,1.0466621078124103
2010-06-22,1.0921565647157905,1.0872055509406833,1.0814945160701794,1.0850151472249396,1.0893312821106098,1.029375650287139
2010-06-23,1.1033450912483551,1.097974638831211,1.0920346656903521,1.0954268666366678,1.0898240625016304,1.0261818253634738
2010-06-24,1.0921501032168544,1.0872429051246701,1.081776107345247,1.0847435911635797,1.0764628599780828,1.0091772736620976
2010-06-25,1.0991646237696393,1.093688211462022,1.0878809237849774,1.0913769692517488,1.0844070059032023,1.0134048165732155
2010-06-28,1.0886077721296692,1.0846691005612878,1.0785381465988233,1.0820957439500105,1.0797162980990487,1.0102107068002841
2010-06-29,1.078744009062441,1.075383964059964,1.0693753351792499,1.072216772939147,1.0611396365316337,0.9790200919379508
2010-06-30,1.0695013521052332,1.0666056824373766,1.0604284609929049,1.0633552995786004,1.0582321101726744,0.9697191936942744
2010-07-01,1.0577416045453372,1.0558082944313874,1.0498322802976192,1.0517509500131892,1.056689781648354,0.9653976505252732
2010-07-02,1.0596699591211103,1.0574556926272787,1.0515974616660448,1.0539288179569608,1.0534219459656375,0.9601365795262138
2010-07-06,1.049821560692967,1.0489381526906656,1.0429793306733504,1.0449214154651978,1.0524427483666408,0.9664312735629703
2010-07-07,1.0598063646713223,1.0584982993036873,1.052491403721998,1.0552173914467562,1.067339094644845,0.996870456060768
2010-07-08,1.057088458198838,1.0562457813640318,1.0502901403951672,1.0532789113547336,1.0736677788359144,1.0067346912034576
2010-07-09,1.0610488861045186,1.0598633449708321,1.0540159862547915,1.05717568926038,1.0765702285705492,1.0142503441453903
2010-07-12,1.0576066044375565,1.0566126764040282,1.0508947511817839,1.0537040265528501,1.0733765122372618,1.0149079661515532
2010-07-13,1.0738632904665577,1.0714065401611954,1.065558444784658,1.0689661291229078,1.0927846266241763,1.0302213677588248
2010-07-14,1.0742120669857445,1.0719871401606689,1.0658920802096632,1.0692546370708411,1.0943945440225264,1.0301272725511859
2010-07-15,1.0806057750305853,1.0782586237454643,1.0716956729177973,1.0753152365513614,1.0990413170548177,1.030409178375081
2010-07-16,1.064617408538736,1.0635394440620853,1.0573940191592686,1.0599221966752406,1.0793960956522715,1.0020371470029221
2010-07-19,1.0678491018106018,1.066397655723402,1.0603380882518227,1.062811444171953,1.0844962414228838,1.0079559349579
2010-07-20,1.078193168469227,1.0759651225172497,1.0696159518543054,1.0725492575235878,1.0941592734231071,1.0191356040124262
2010-07-21,1.0677902516166924,1.06706457953577,1.0605238599999238,1.0629601596085199,1.0953864236294173,1.0058891636312828
2010-07-22,1.0804519136036617,1.0786622565016744,1.071978396161024,1.0752777829104911,1.1105169577148233,1.0283420272494421
2010-07-23,1.0878820554931365,1.085584961044932,1.0790042658010284,1.0823945737769842,1.1167102241960682,1.0372673042606062
2010-07-26,1.0924910566832473,1.0896522653459306,1.0830588481132282,1.0863995083053923,1.1242506861507198,1.0480715419821311
2010-07-27,1.0780335329156265,1.0762378958070318,1.0702133464240011,1.0728835532507086,1.1181031454246604,1.0479773518247366
2010-07-28,1.0894501256196119,1.0871681009857526,1.0808897755570699,1.0837871886731367,1.1229976044352115,1.0412130362975842
