Date,BL,MVO Min Vol,HRP,NCO,Equal Weight,S&P 500
2010-02-28,1.04221476516445,1.0415279699897335,1.040882293260064,1.0414543110206478,1.0274701603492915,1.0311946977018172
2010-03-31,1.0812153614234083,1.0794330899969624,1.0783873486569424,1.079425206357264,1.061340655828826,1.0939735770022572
2010-04-30,1.1592749322878624,1.1510436292580633,1.1469993494018713,1.1498367744737399,1.1357369640423982,1.110897231512
2010-05-31,1.1240264066522885,1.117024090640466,1.1118668844407829,1.1150573467539233,1.097795955489139,1.0226314641081373
2010-06-30,1.069501352105233,1.066605682437377,1.060428460992904,1.0633552995786009,1.0582321101726757,0.9697191936942726
2010-07-31,1.1038381503383468,1.1014217390343262,1.094436507605028,1.0979526667652901,1.1268511422581224,1.035952155198034
2010-08-31,1.080774141386014,1.0802774555823298,1.0708424330417323,1.075668726652746,1.1017897166015846,0.9893548031188335
2010-09-30,1.1725626935817912,1.1677928741405252,1.156160125820431,1.1626850027076874,1.1638214993680809,1.0779556482096369
2010-10-31,1.2604251908080564,1.2514691418042387,1.2391767937969693,1.246493813322488,1.204842052224346,1.1191358318918379
2010-11-30,1.2572364576229231,1.2470225026411135,1.2356684634802657,1.242373608184618,1.1994044792302283,1.1191358318918376
2010-12-31,1.3047877669685748,1.291160575915378,1.2794429529149707,1.2867582946479772,1.2526538935763185,1.1939526310862079
2011-01-31,1.2722948022334795,1.2620831532379078,1.252546174798811,1.2583309178876942,1.2821080641253557,1.2217720548817181
2011-02-28,1.2744483479775548,1.2626928137495976,1.2510129198851137,1.2585676174581408,1.3085416806953805,1.2642132662658898
2011-03-31,1.3181241573464744,1.304922235224962,1.2918532442052781,1.3004878048247264,1.3102709113897546,1.2643645212263026
2011-04-30,1.345909640836462,1.329086290694057,1.313823115170112,1.3242114774641058,1.3318464227925275,1.3009830338079997
2011-05-31,1.28073133263497,1.2660742381471917,1.2502651669383698,1.2606818735779919,1.3163663149414009,1.2863929594376546
2011-06-30,1.2408012723144302,1.226191893121205,1.2116792188621224,1.2211200969027753,1.3113454415198549,1.264691813033297
2011-07-31,1.2168754807144933,1.2025165215218556,1.1869298070843277,1.1972397941940882,1.2939618201355596,1.2393925456466197
2011-08-31,1.3181134536964274,1.3005893920956455,1.2783145711808597,1.2930725684978555,1.2842290116847037,1.1712558415463286
2011-09-30,1.2544468359878955,1.2447609959973693,1.2205049503470902,1.2352856832636383,1.2182956734792894,1.0899464730248694
2011-10-31,1.35689208678517,1.3409416159216034,1.313598550942042,1.3306381310220528,1.3498184672748414,1.208910255959855
2011-11-30,1.3932288998710818,1.3759113625687747,1.3457464051143793,1.3646168390858147,1.3703035724430752,1.2039981253120295
2011-12-31,1.3753074805041288,1.360816162262401,1.330049872621294,1.3485634631569605,1.3865704212427923,1.216577543661222
2012-01-31,1.366674234225421,1.3500163471801852,1.3187276290401886,1.338105066840896,1.4495176850681242,1.2729961186438987
2012-02-29,1.3892131734448467,1.3722679215561695,1.3399913139943722,1.3601602984923498,1.4654271429243286,1.32825136922295
2012-03-31,1.4481210785712975,1.4284801539911591,1.3954807010131536,1.416293461766143,1.490119255602808,1.3709725874359084
2012-04-30,1.556776233790343,1.5325210798574014,1.4937909620326164,1.5179083681796302,1.5204604109806943,1.3618205704087594
2012-05-31,1.4965415608634942,1.4777769291933756,1.4392308392198716,1.462508056693793,1.432751463312874,1.280035598562311
2012-06-30,1.479903964804935,1.463702411616054,1.4244825501415133,1.4486608643559291,1.4822744956404001,1.3319809006667964
2012-07-31,1.5218290824366352,1.5046123567431822,1.4619639597770313,1.488311658242048,1.483684125417262,1.3477374327826974
2012-08-31,1.4773364084492464,1.4614838986196328,1.4206399407565338,1.4461339214366453,1.4965867666105555,1.3815021355149533
2012-09-30,1.5037788578673008,1.4859562033389984,1.444613491706549,1.4708665367461338,1.5430442135668145,1.4165242578584725
2012-10-31,1.5372394705079044,1.5202407598995415,1.479148415551293,1.5049249218725258,1.5506679498153078,1.3907455891565892
2012-11-30,1.6012024961216411,1.5811968098647433,1.5367697342427376,1.5648066395484417,1.5626617659940676,1.3986167339828819
2012-12-31,1.6114736782789447,1.5915484597625442,1.5492703376538828,1.5757362040855931,1.5788926818094948,1.411113356145332
2013-01-31,1.700903566202292,1.6761633254251689,1.6319947146468485,1.6597552759726792,1.6375459247668418,1.4833480916903228
