date,Loose,Tight
1997-06-30,1.0,4.911745783618481e-20
1997-07-01,0.9998954077782191,0.00010459222178078654
1997-07-02,0.9998204009252217,0.00017959907477831398
1997-07-03,0.9997166203866044,0.0002833796133956839
1997-07-07,0.9995015618609998,0.0004984381390000992
1997-07-08,0.9996487923032895,0.000351207696710425
1997-07-09,0.9996779574467995,0.00032204255320038007
1997-07-10,0.9997562019901166,0.00024379800988333012
1997-07-11,0.9997834817514046,0.0002165182485953047
1997-07-14,0.999779719124686,0.00022028087531406306
1997-07-15,0.9997468441098136,0.0002531558901863658
1997-07-16,0.9997372725907852,0.0002627274092147571
1997-07-17,0.9997109782274748,0.00028902177252522525
1997-07-18,0.9997030050933017,0.00029699490669844904
1997-07-21,0.9996431165960227,0.0003568834039773492
1997-07-22,0.999505192563031,0.0004948074369688905
1997-07-23,0.9995479350704782,0.00045206492952179576
1997-07-24,0.9996868456832962,0.0003131543167037887
1997-07-25,0.999715615386118,0.0002843846138820945
1997-07-28,0.9997185474815288,0.0002814525184712753
1997-07-29,0.9997705678118919,0.00022943218810809687
1997-07-30,0.9997683468458064,0.00023165315419372627
1997-07-31,0.9997624451359672,0.00023755486403278375
1997-08-01,0.9996991644000318,0.0003008355999683262
1997-08-04,0.9997687354615793,0.00023126453842065036
1997-08-05,0.9998080637420778,0.00019193625792233933
1997-08-06,0.9998201051145549,0.00017989488544512222
1997-08-07,0.9998144797300016,0.00018552026999849486
1997-08-08,0.999827601062566,0.00017239893743404712
1997-08-11,0.9998338951829727,0.00016610481702734512
1997-08-12,0.999830973355753,0.00016902664424701033
1997-08-13,0.9998202528875729,0.0001797471124271748
1997-08-14,0.9997918903870634,0.00020810961293647994
1997-08-15,0.9997996879532213,0.00020031204677885863
1997-08-18,0.9997764315776989,0.00022356842230119794
1997-08-19,0.9997559740994847,0.00024402590051530112
1997-08-20,0.9996714897804767,0.00032851021952334797
1997-08-21,0.9995751357010021,0.0004248642989979452
1997-08-22,0.9996813360661908,0.0003186639338091728
1997-08-25,0.9997701804034435,0.0002298195965565295
1997-08-26,0.999800448009356,0.00019955199064395992
1997-08-27,0.9998022628037375,0.00019773719626245355
1997-08-28,0.9997807353821513,0.00021926461784874284
1997-08-29,0.9998081437529205,0.00019185624707962582
1997-08-31,0.9998144146724754,0.00018558532752449886
1997-09-02,0.9998126281964222,0.00018737180357773499
1997-09-03,0.9997900616658694,0.00020993833413064116
1997-09-04,0.9997247703802085,0.0002752296197915098
1997-09-05,0.999644720607167,0.0003552793928329805
1997-09-08,0.9996872012519009,0.00031279874809907654
1997-09-09,0.9997600065435603,0.0002399934564396278
1997-09-10,0.9997947939000309,0.000205206099969084
1997-09-11,0.9997922911709648,0.00020770882903509266
1997-09-12,0.999757090440837,0.0002429095591628899
1997-09-15,0.9997706273773007,0.00022937262269937921
1997-09-16,0.9997563193588359,0.00024368064116418606
1997-09-17,0.9997926769189109,0.00020732308108909297
1997-09-18,0.9998000426403549,0.00019995735964506022
1997-09-19,0.9998001708916491,0.00019982910835093838
1997-09-22,0.9997679732687932,0.00023202673120677403
1997-09-23,0.9996751534481101,0.0003248465518899881
1997-09-24,0.9995502715028516,0.00044972849714851256
1997-09-25,0.999672307982631,0.0003276920173689984
1997-09-26,0.9997605850679527,0.00023941493204736346
1997-09-29,0.9997842993078287,0.00021570069217132935
1997-09-30,0.9997964465989638,0.00020355340103621927
1997-10-01,0.999782916431333,0.00021708356866701205
1997-10-02,0.9997927188125129,0.00020728118748706328
1997-10-03,0.9997710064720249,0.00022899352797516604
1997-10-06,0.9997500375489812,0.00024996245101876054
1997-10-07,0.9996912485547218,0.00030875144527812596
1997-10-08,0.9995538997403904,0.0004461002596095007
1997-10-09,0.999463859809054,0.000536140190945972
1997-10-10,0.9993706103470813,0.0006293896529187054
1997-10-13,0.9993169394438468,0.000683060556153142
1997-10-14,0.9990582123269424,0.0009417876730576702
1997-10-15,0.9983529546210124,0.0016470453789876388
1997-10-16,0.9966262924258718,0.0033737075741281384
1997-10-17,0.9928313269254578,0.007168673074542171
1997-10-20,0.9839807732657768,0.01601922673422321
1997-10-21,0.9630491035053517,0.03695089649464839
1997-10-22,0.9134074669706999,0.08659253302930023
1997-10-23,0.8076492653700492,0.19235073462995078
1997-10-24,0.7165149422251007,0.28348505777489924
1997-10-27,0.5689188324565633,0.43108116754343667
1997-10-28,0.6700549226421415,0.32994507735785844
1997-10-29,0.7310235957083112,0.26897640429168884
1997-10-30,0.7686538169957272,0.2313461830042729
1997-10-31,0.8617430962615487,0.1382569037384513
1997-11-03,0.9031671348632825,0.09683286513671757
1997-11-04,0.9535661967760068,0.046433803223993125
1997-11-05,0.9762425271586386,0.023757472841361416
1997-11-06,0.9858349561031376,0.014165043896862331
1997-11-07,0.990831219655768,0.009168780344231965
1997-11-10,0.9959353032811379,0.004064696718862057
1997-11-11,0.998122869771827,0.0018771302281730892
1997-11-12,0.9990380656844708,0.0009619343155291524
1997-11-13,0.9994735892603531,0.0005264107396470208
1997-11-14,0.9996664063107297,0.00033359368927026313
1997-11-17,0.999757150214457,0.00024284978554305205
1997-11-18,0.999793348109188,0.0002066518908120776
1997-11-19,0.9997943403129084,0.00020565968709177618
1997-11-20,0.9997599278685059,0.0002400721314941753
1997-11-21,0.9997541332140373,0.0002458667859626509
1997-11-24,0.9997575925514195,0.00024240744858053276
1997-11-25,0.9998083510546153,0.0001916489453846156
1997-11-26,0.9998285908112342,0.00017140918876587744
1997-11-27,0.9998344252923267,0.00016557470767326337
1997-11-28,0.9998342264977927,0.00016577350220735776
1997-11-30,0.9998268441605758,0.00017315583942416956
1997-12-01,0.9998222682978019,0.00017773170219813214
1997-12-02,0.999799047937229,0.0002009520627709769
1997-12-03,0.9997507577943802,0.0002492422056198708
1997-12-04,0.9997194268303097,0.00028057316969037357
1997-12-05,0.9997127712859802,0.00028722871401961356
1997-12-08,0.9996952207177314,0.0003047792822684342
1997-12-09,0.9995820637204219,0.0004179362795781207
1997-12-10,0.9992990462399661,0.000700953760033961
1997-12-11,0.9987515475057318,0.00124845249426817
1997-12-12,0.999077926071007,0.0009220739289930557
1997-12-15,0.9994547130741884,0.0005452869258116362
1997-12-16,0.999592911518731,0.00040708848126897433
1997-12-17,0.9995773572459625,0.00042264275403753546
1997-12-18,0.9994392782375628,0.0005607217624371285
1997-12-19,0.9993707336761052,0.0006292663238948588
1997-12-22,0.999588592535365,0.00041140746463493906
1997-12-23,0.9996726136850441,0.000327386314955905
1997-12-24,0.9996727543323773,0.0003272456676226696
1997-12-26,0.999665840639284,0.000334159360716
1997-12-29,0.9995501614469455,0.000449838553054526
1997-12-30,0.9994889412413676,0.0005110587586324589
1997-12-31,0.9995972649561454,0.00040273504385453685
1998-01-02,0.999569036967698,0.0004309630323019186
1998-01-05,0.9994132622703,0.0005867377297000407
1998-01-06,0.9995993719660966,0.0004006280339034961
