,mean_terminal_value,mean_1y_return,vol_terminal_value,var_5_loss,probability_of_loss,average_max_drawdown_loss,median_max_drawdown_loss
BL,1.1430247876548725,0.14302478765487245,0.15452006119271863,0.0979083103085403,0.198,0.11179907444088485,0.10502669753653676
MVO Min Vol,1.089102712571092,0.08910271257109176,0.09415438077407805,0.04718991105259446,0.176,0.06744725849304448,0.06162230602525731
MVO Semivariance,1.2260827502618044,0.22608275026180427,0.30223530808142207,0.22756380763755624,0.234,0.20046204328591755,0.18616662884265917
MVO CVaR,1.0932487237290698,0.09324872372906977,0.08830537712051867,0.048691340750891404,0.13,0.06389840943274569,0.05808394148820717
HRP,1.0941006721753812,0.09410067217538128,0.09432708360967582,0.062194067230142015,0.162,0.06963289445057975,0.06399419436365744
NCO,1.073391606651818,0.07339160665181814,0.07817566401411637,0.06044384764221334,0.164,0.05854840524590032,0.05308002622628655
