date,CASY,ORLY,TLT,SHY,LMT,DE,MO,GLD,MS,XOM,EME
2010-02-28,0.09353,0.15246,0.03258,0.22762,0.0,0.0,0.0,0.4,0.00985,0.0,0.08396
2010-03-31,0.08176918230817691,0.10573894261057389,0.01904980950190498,0.3167768322316777,0.0,0.0,0.00043999560004399956,0.3999960000399996,0.013529864701352985,0.0,0.06269937300626995
2010-04-30,0.08463,0.11074,0.03533,0.0,0.16573,0.01191,0.11855,0.33134,0.0,0.0,0.14177
2010-05-31,0.0916690833091669,0.12804871951280486,0.0022799772002279977,0.31709682903170966,0.0,0.0,0.0,0.3999960000399996,0.01568984310156898,0.0,0.045219547804521955
2010-06-30,0.11811118111181114,0.32964329643296436,0.09639096390963911,0.0,0.0,0.0,0.0,0.4000040000400005,0.007840078400784009,0.0,0.04801048010480105
2010-07-31,0.09969099690996909,0.2909329093290933,0.17135171351713516,0.0,0.0,0.0,0.0,0.4000040000400004,0.002960029600296003,0.0,0.035060350603506034
2010-08-31,0.13192,0.20966,0.1395,0.0,0.0,0.02187,0.0449,0.37473,0.00298,0.0,0.07444
2010-09-30,0.10631000000000002,0.16395000000000004,0.24635000000000004,0.0,0.0,0.014650000000000002,0.034030000000000005,0.39613000000000004,0.007880000000000002,0.0,0.030700000000000005
2010-10-31,0.10868,0.17556,0.18123,0.0,0.0,0.02249,0.09199,0.38654,0.0,0.0,0.03351
2010-11-30,0.10819891801081992,0.16565834341656585,0.16400835991640086,0.0,0.0,0.027159728402715976,0.10692893071069291,0.3682663173368267,0.0,0.0,0.05977940220597795
2010-12-31,0.08367,0.21687,0.1345,0.0,0.0,0.02266,0.0981,0.4,0.0,0.0,0.0442
2011-01-31,0.10141101411014111,0.15936159361593616,0.08156081560815608,0.06148061480614807,0.0,0.03814038140381404,0.12476124761247613,0.4000040000400005,0.0,0.0,0.03328033280332803
2011-02-28,0.11179888201117988,0.14636853631463684,0.04941950580494195,0.05120948790512094,0.0,0.06053939460605393,0.11655883441165588,0.3999960000399996,0.000959990400095999,0.0,0.06314936850631493
2011-03-31,0.10032999999999997,0.12396999999999997,0.06949999999999999,0.0,0.0,0.043899999999999995,0.19012999999999994,0.3999999999999999,0.0,0.0,0.07216999999999998
2011-04-30,0.09333093330933309,0.13569135691356915,0.034850348503485035,0.0,0.0,0.05780057800578006,0.20352203522035223,0.4000040000400005,0.0,0.0,0.07480074800748009
2011-05-31,0.08331,0.09832,0.09155,0.0,0.12936,0.04569,0.16481,0.27897,0.0,0.0,0.10799
2011-06-30,0.08343083430834308,0.10127101271012709,0.11725117251172511,0.0,0.12443124431244312,0.027770277702777027,0.18121181211812118,0.26686266862668623,0.0,0.0,0.0977709777097771
2011-07-31,0.0906009060090601,0.16873168731687316,0.01784017840178402,0.09596095960959611,0.0,0.04193041930419305,0.14074140741407415,0.4000040000400005,0.0,0.0,0.04419044190441905
2011-08-31,0.09316,0.12646,0.06328,0.10884,0.0,0.02922,0.13307,0.4,0.0,0.0,0.04597
2011-09-30,0.08984,0.20112,0.13645,0.0,0.0,0.02721,0.12924,0.4,0.0,0.0,0.01614
2011-10-31,0.04944,0.22378,0.27698,0.0,0.0,0.00166,0.13307,0.30146,0.0,0.0,0.01361
2011-11-30,0.07085070850708507,0.25979259792597925,0.24842248422484223,0.0,0.0,0.0,0.08590085900859008,0.3218832188321883,0.0,0.0,0.013150131501315013
2011-12-31,0.06710134202684054,0.22199443988879775,0.2905758115162303,0.0,0.0,0.0,0.11861237224744493,0.2975759515190304,0.0,0.0,0.004140082801656032
2012-01-31,0.06502934970650294,0.23559764402355976,0.2919270807291927,0.0,0.0,0.0,0.15025849741502584,0.23277767222327775,0.0,0.0,0.024409755902440974
2012-02-29,0.06493,0.20012,0.25085,0.0,0.0,0.0227,0.12459,0.28722,0.0,0.0,0.04959
2012-03-31,0.06882,0.17041,0.21136,0.0,0.02598,0.0247,0.16033,0.27399,0.0,0.0,0.06441
2012-04-30,0.06551,0.15709,0.19148,0.0,0.06695,0.0215,0.17824,0.24629,0.0,0.0,0.07294
2012-05-31,0.06074939250607493,0.22007779922200776,0.22636773632263674,0.0,0.013359866401335987,0.014729852701472984,0.1806881931180688,0.23708762912370873,0.0,0.0,0.046939530604693955
2012-06-30,0.08588,0.22771,0.2644,0.0,0.0,0.00077,0.17109,0.21013,0.0,0.0,0.04002
2012-07-31,0.08990089900899009,0.1800318003180032,0.23934239342393426,0.0,0.0,0.016690166901669017,0.22017220172201724,0.21262212622126223,0.0,0.0,0.041240412404124044
2012-08-31,0.0869591304086959,0.16251837481625184,0.24941750582494174,0.0,0.0016699833001669983,0.016189838101618982,0.23222767772322275,0.21944780552194476,0.0,0.0,0.031569684303156965
2012-09-30,0.06633000000000001,0.09534000000000001,0.23228000000000001,0.0,0.12941000000000003,0.018610000000000005,0.17359000000000002,0.20075000000000004,0.0,0.016280000000000003,0.06741000000000001
2012-10-31,0.08179081790817908,0.15214152141521414,0.23274232742327422,0.0,0.014320143201432014,0.027810278102781028,0.2078720787207872,0.24951249512495124,0.0,0.0,0.033810338103381035
2012-11-30,0.06677999999999999,0.15496999999999997,0.23503999999999994,0.0,0.009319999999999998,0.032139999999999995,0.19938999999999996,0.24702999999999994,0.0,0.0,0.05532999999999998
2012-12-31,0.06026879462410752,0.09861802763944721,0.2106557868842623,0.0,0.1381772364552709,0.018119637607247857,0.18318633627327455,0.20634587308253838,0.0,0.004219915601687966,0.08040839183216336
2013-01-31,0.07135,0.17007,0.22634,0.0,0.0,0.03319,0.20707,0.23879,0.0,0.0,0.05319
2013-02-28,0.07253072530725307,0.10491104911049111,0.17008170081700819,0.0,0.11086110861108611,0.02690026900269003,0.1983819838198382,0.2067820678206782,0.0,0.01825018250182502,0.0913009130091301
2013-03-31,0.07845,0.19691,0.20499,0.0,0.0,0.02222,0.20067,0.2368,0.0,0.0,0.05996
2013-04-30,0.08254917450825491,0.16308836911630883,0.1735882641173588,0.0,0.044239557604423954,0.013129868701312985,0.2074879251207488,0.22846771532284676,0.0,0.00015999840001599985,0.08728912710872891
2013-05-31,0.07978159563191264,0.1489429788595772,0.19485389707794157,0.0,0.06391127822556451,0.014490289805796116,0.21713434268685372,0.18958379167583353,0.0,0.002200044000880018,0.08910178203564072
2013-06-30,0.07516075160751608,0.15651156511565115,0.2063420634206342,0.0,0.05916059160591605,0.02241022410224102,0.2091020910209102,0.1925719257192572,0.0,0.0,0.07874078740787407
2013-07-31,0.08477084770847709,0.1930519305193052,0.15971159711597116,0.0,0.057520575205752066,0.00989009890098901,0.23423234232342324,0.16688166881668817,0.0,0.0,0.09394093940939409
2013-08-31,0.07753,0.12877,0.13282,0.0,0.1595,0.00845,0.18319,0.18869,0.0,0.01848,0.10257
2013-09-30,0.08666913330866692,0.16440835591644087,0.14388856111438886,0.0,0.13276867231327688,0.006659933400665994,0.20155798442015582,0.16953830461695385,0.0,0.0,0.09450905490945091
2013-10-31,0.10750107501075011,0.22065220652206524,0.13364133641336415,0.0,0.08531085310853109,0.005990059900599006,0.21085210852108524,0.15874158741587416,0.0,0.0,0.07731077310773109
2013-11-30,0.09712902870971289,0.12985870141298586,0.1035789642103579,0.0,0.1850881491185088,0.005209947900520995,0.20950790492095078,0.17156828431715682,0.0,0.00909990900090999,0.0889591104088959
2013-12-31,0.09747,0.12723,0.09529,0.0,0.20545,0.00442,0.20543,0.15062,0.0,0.01788,0.09621
2014-01-31,0.08794912050879493,0.1365286347136529,0.08386916130838692,0.0,0.20813791862081382,0.007649923500764993,0.21886781132188682,0.1331486685133149,0.0,0.02908970910290898,0.09475905240947592
2014-02-28,0.10954890451095488,0.25210747892521074,0.12736872631273688,0.0,0.11104888951110488,0.006399936000639993,0.21033789662103378,0.10743892561074388,0.0,0.0,0.07574924250757492
2014-03-31,0.08463,0.1406,0.0971,0.0,0.22605,0.00089,0.18821,0.13387,0.0,0.02086,0.10779
2014-04-30,0.08630086300863009,0.16566165661656618,0.10392103921039211,0.0,0.21051210512105123,0.0,0.19575195751957522,0.14176141761417616,0.0,0.0009000090000900009,0.0951909519095191
2014-05-31,0.08716,0.1503,0.07939,0.0,0.23542,0.0,0.19372,0.12782,0.0,0.02046,0.10573
2014-06-30,0.0869117382347647,0.14243284865697314,0.09634192683853676,0.0,0.23898477969559392,0.0,0.20064401288025763,0.11668233364667294,0.0,0.01845036900738015,0.09955199103982079
2014-07-31,0.08382167643352867,0.14675293505870116,0.09022180443608871,0.0,0.2245944918898378,0.0,0.2123542470849417,0.13147262945258906,0.0,0.014780295605912116,0.09600192003840076
2014-08-31,0.10293,0.26827,0.09833,0.0,0.13104,0.0,0.22983,0.09663,0.0,0.0,0.07297
2014-09-30,0.08413,0.14839,0.10366,0.0,0.23449,0.0,0.20349,0.11562,0.00027,0.01882,0.09113
2014-10-31,0.1051,0.25065,0.11221,0.0,0.14776,0.0,0.23363,0.08792,0.0,0.0,0.06273
2014-11-30,0.1061,0.23004,0.11793,0.0,0.16973,0.0,0.23076,0.07267,0.0,0.0,0.07277
2014-12-31,0.08743087430874309,0.16213162131621317,0.1009510095100951,0.0,0.23663236632366325,0.0,0.23550235502355024,0.08538085380853809,0.0,0.0,0.09197091970919709
2015-01-31,0.11362,0.26071,0.14618,0.0,0.13134,0.0,0.21468,0.07066,0.0,0.0,0.06281
2015-02-28,0.10348896511034889,0.23758762412375875,0.1794682053179468,0.0,0.12252877471225287,0.0,0.22465775342246577,0.0897891021089789,0.0,0.0,0.04247957520424795
2015-03-31,0.08381,0.16685,0.11079,0.0,0.23065,0.0,0.23135,0.09537,0.0,0.0,0.08118
2015-04-30,0.08414,0.17154,0.11604,0.0,0.24291,0.0,0.20309,0.09278,0.0,0.0,0.0895
2015-05-31,0.08021,0.19621,0.09775,0.0,0.23198,0.0,0.20467,0.09802,0.0,0.0,0.09116
2015-06-30,0.08783175663513271,0.20277405548110963,0.125082501650033,0.0,0.20762415248304966,0.0024200484009680194,0.2092441848836977,0.09512190243804876,0.0,0.0,0.06990139802796057
2015-07-31,0.1073910739107391,0.3009130091300913,0.13842138421384212,0.0,0.1147711477114771,0.0,0.19033190331903319,0.10436104361043609,0.0,0.0,0.043810438104381046
2015-08-31,0.10231897681023189,0.2848071519284807,0.17468825311746883,0.0,0.13928860711392885,0.0,0.20683793162068378,0.049009509904900946,0.0,0.0,0.043049569504304955
2015-09-30,0.11826,0.29718,0.16531,0.0,0.12916,0.0,0.21718,0.05518,0.0,0.0,0.01773
2015-10-31,0.10926109261092612,0.3106131061310613,0.1764117641176412,0.0,0.13046130461304614,0.0,0.23453234532345324,0.015480154801548017,0.0,0.0,0.023240232402324024
2015-11-30,0.1010610106101061,0.24791247912479122,0.14464144641446414,0.0,0.16897168971689716,0.0,0.23721237212372123,0.05393053930539305,0.0,0.0,0.04627046270462704
2015-12-31,0.09515,0.20981,0.10206,0.0,0.24741,0.0,0.21418,0.05128,0.0,0.0,0.08011
2016-01-31,0.12056,0.30306,0.15614,0.0,0.12331,0.0,0.24804,0.03681,0.0,0.0,0.01208
2016-02-29,0.11081110811108111,0.28279282792827926,0.15680156801568015,0.0,0.13089130891308914,0.0,0.24868248682486824,0.05358053580535806,0.0,0.0,0.016440164401644017
2016-03-31,0.08891911080889191,0.26017739822601776,0.16071839281607184,0.0,0.16385836141638582,0.0,0.24282757172428274,0.054229457705422944,0.0,0.0,0.02926970730292697
2016-04-30,0.1003589964100359,0.25515744842551574,0.15265847341526584,0.0,0.1562384376156238,0.0,0.25040749592504075,0.051249487505124945,0.0,0.0,0.03392966070339296
2016-05-31,0.08500085000850009,0.1892618926189262,0.1023910239102391,0.0,0.24197241972419725,0.0,0.23312233122331225,0.06998069980699807,0.0,0.0,0.07827078270782709
2016-06-30,0.09170091700917007,0.17410174101741016,0.1054510545105451,0.0,0.2550025500255002,0.0,0.2336623366233662,0.05568055680556805,0.0,0.0,0.08440084400844007
2016-07-31,0.09826098260982609,0.25800258002580023,0.15627156271562714,0.0,0.12988129881298813,0.0,0.26092260922609223,0.09086090860908608,0.0,0.0,0.005800058000580005
2016-08-31,0.09454094540945408,0.1866818668186682,0.09116091160911609,0.0,0.24006240062400622,0.0,0.22145221452214522,0.08218082180821808,0.0,0.0,0.08392083920839208
2016-09-30,0.08999910000899992,0.18998810011899883,0.09718902810971891,0.0,0.2340076599234008,0.0,0.2238777612223878,0.07070929290707094,0.0,0.0,0.09422905770942291
2016-10-31,0.08502,0.24452,0.16298,0.0,0.14712,0.0,0.2431,0.06769,0.0,0.0,0.04957
2016-11-30,0.07290927090729092,0.1902180978190218,0.04359956400435995,0.0,0.24399756002439973,0.0,0.27954720452795473,0.0946390536094639,0.0,0.0,0.07508924910750893
2016-12-31,0.08084838303233935,0.19063618727625445,0.015659686806263874,0.0,0.26800463990720186,0.00734985300293994,0.27796444071118576,0.0745885082298354,0.0,0.0,0.08494830103397931
2017-01-31,0.08247000000000002,0.19193000000000002,0.0,0.0,0.25416000000000005,0.015250000000000001,0.29664000000000007,0.07216000000000002,0.0,0.0,0.08739000000000001
2017-02-28,0.08162000000000001,0.17925000000000002,0.016800000000000002,0.0,0.24517000000000003,0.006920000000000001,0.29890000000000005,0.09193000000000001,0.0,0.0,0.07941000000000001
2017-03-31,0.07916000000000001,0.17700000000000002,0.004750000000000001,0.0,0.25689000000000006,0.013740000000000002,0.31101000000000006,0.09277000000000002,0.0,0.0,0.06468000000000002
2017-04-30,0.06142061420614207,0.1897218972189722,0.028380283802838028,0.0,0.25309253092530926,0.007930079300793008,0.2979929799297993,0.0921909219092191,0.0,0.0,0.06927069270692707
2017-05-31,0.06993,0.20685,0.05299,0.0,0.2204,0.0,0.28678,0.10939,0.0,0.0,0.05366
2017-06-30,0.05481,0.20116,0.05755,0.0,0.21029,0.01574,0.28567,0.11773,0.0,0.0,0.05705
2017-07-31,0.06375063750637507,0.16891168911689117,0.027390273902739026,0.0,0.24173241732417322,0.02371023710237102,0.2993529935299353,0.1053310533105331,0.0,0.0,0.06982069820698206
2017-08-31,0.06281,0.15888,0.0209,0.0,0.28709,0.02441,0.27255,0.09315,0.0,0.0,0.08021
2017-09-30,0.07717,0.21474,0.06856,0.0,0.21817,0.00097,0.2648,0.11011,0.0,0.0,0.04548
2017-10-31,0.08482084820848208,0.16508165081650816,0.017900179001790015,0.0,0.27676276762767626,0.027580275802758028,0.26561265612656126,0.09122091220912208,0.0,0.0,0.07102071020710207
2017-11-30,0.06989069890698907,0.1578715787157872,0.0,0.0,0.2937729377293773,0.02912029120291203,0.27402274022740225,0.0883408834088341,0.0,0.0,0.0869808698086981
2017-12-31,0.08996,0.1664,0.02356,0.0,0.26238,0.03663,0.26079,0.08647,0.0,0.0,0.07381
2018-01-31,0.0634,0.16789,0.01861,0.0,0.26447,0.03922,0.28304,0.0888,0.0,0.0,0.07457
2018-02-28,0.07297999999999999,0.17752999999999997,0.0008599999999999998,0.0,0.2730099999999999,0.04551999999999999,0.26675999999999994,0.09763999999999998,0.0,0.0,0.06569999999999998
2018-03-31,0.04694,0.24752,0.07283,0.0,0.21341,0.01578,0.22073,0.13724,0.0,0.0,0.04555
2018-04-30,0.04594045940459405,0.2742327423274233,0.08048080480804808,0.0,0.1951119511195112,0.0,0.23086230862308627,0.13550135501355015,0.0,0.0,0.03787037870378704
2018-05-31,0.03892961070389297,0.21201787982120182,0.0,0.0,0.29841701582984176,0.040609593904060964,0.21622783772162282,0.10660893391066091,0.0019799802001979985,0.0,0.08520914790852092
