,return,volatility,sharpe,return_vol_ratio
BL,0.14304919919589532,0.13880078059840814,0.7424252136884391,1.0306080310151793
MVO Min Vol,0.08627117449881605,0.08044523312230152,0.5751885189824687,1.0724212131706712
MVO Semivariance,0.20000069631122536,0.23667382436197265,0.676038834216486,0.8450478072528256
MVO CVaR,0.08799159217400941,0.08089319023831586,0.5932711027049805,1.0877503027730921
HRP,0.09430796511846319,0.08517266452574015,0.6376220049103982,1.1072562499199756
NCO,0.069708054089526,0.07054684567044597,0.4211110193119737,0.9881101476196636
