,portfolio_weight,asset_stress_return,weighted_stress_contribution
CASY,0.134,-0.0637,-0.0085
ORLY,0.2294,-0.0618,-0.0142
TLT,0.0,-0.0054,-0.0
SHY,0.0,-0.0037,-0.0
LMT,0.1105,-0.0669,-0.0074
DE,0.0386,-0.0993,-0.0038
MO,0.1092,-0.0772,-0.0084
GLD,0.2824,-0.0399,-0.0113
MS,0.0043,-0.1283,-0.0005
XOM,0.0,-0.0998,-0.0
EME,0.0917,-0.0987,-0.009
