,0
linear_factor_variance,0.0122
factor_variance,0.0122
specific_variance,0.0072
total_variance,0.0194
predicted_volatility,0.1394
factor_risk_share,0.6278
specific_risk_share,0.3722
specific_shrinkage,0.0741
