,VIX Tightness Shock,HY Spread Tightness Shock,T10Y2Y Tightness Shock,Equity Market Beta,TIPS Duration Beta,Credit Market Beta,Downside Market Shock,Real Yield Shock
VIX Tightness Shock,1.0,0.687,-0.256,0.106,-0.198,-0.252,-0.176,-0.483
HY Spread Tightness Shock,0.687,1.0,-0.222,0.368,-0.261,-0.429,-0.309,-0.543
T10Y2Y Tightness Shock,-0.256,-0.222,1.0,-0.005,0.151,0.276,0.105,0.187
Equity Market Beta,0.106,0.368,-0.005,1.0,0.304,0.233,-0.385,-0.136
TIPS Duration Beta,-0.198,-0.261,0.151,0.304,1.0,0.737,-0.224,0.504
Credit Market Beta,-0.252,-0.429,0.276,0.233,0.737,1.0,-0.236,0.407
Downside Market Shock,-0.176,-0.309,0.105,-0.385,-0.224,-0.236,1.0,0.122
Real Yield Shock,-0.483,-0.543,0.187,-0.136,0.504,0.407,0.122,1.0
