Date,VIX Tightness Shock,HY Spread Tightness Shock,T10Y2Y Tightness Shock
2010-01-04,-0.028204353035764185,-1.1500000000000004,-0.1599999999999997
2010-01-05,-0.12608246045728466,-1.1000000000000005,-0.10999999999999988
2010-01-06,-0.08202802892123207,-1.0700000000000003,-0.19999999999999973
2010-01-07,-0.12724723560181672,-1.2299999999999995,-0.1599999999999997
2010-01-08,-0.24798622132444537,-1.29,-0.20000000000000018
2010-01-11,-0.23649913530319766,-1.2699999999999996,-0.20999999999999996
2010-01-12,-0.18160868235449223,-1.1099999999999994,-0.10999999999999988
2010-01-13,-0.17082039738370602,-1.0599999999999996,-0.10999999999999988
2010-01-14,-0.16276552189020166,-0.9299999999999997,-0.1299999999999999
2010-01-15,-0.1629591527230957,-0.7600000000000007,-0.08999999999999986
2010-01-19,-0.21720640504500832,-0.7999999999999998,-0.06000000000000005
2010-01-20,-0.11776280040765563,-0.6799999999999997,-0.020000000000000018
2010-01-21,0.12931065266092223,-0.47999999999999954,0.05999999999999961
2010-01-22,0.4019881588337778,-0.29000000000000004,0.040000000000000036
2010-01-25,0.3237164709798154,-0.17999999999999972,0.020000000000000018
2010-01-26,0.30204808816572903,-0.09999999999999964,0.04999999999999982
2010-01-27,0.22098818818905597,-0.08999999999999986,0.009999999999999787
2010-01-28,0.24247111395213083,-0.08000000000000007,-0.07000000000000028
2010-01-29,0.28247513217058184,-0.040000000000000036,-0.08000000000000007
2010-02-01,0.22700052152440742,0.20000000000000018,-0.050000000000000266
2010-02-02,0.2122948730603792,0.2400000000000002,-0.04000000000000048
2010-02-03,0.22770058668617865,0.29000000000000004,-4.440892098500626e-16
2010-02-04,0.44032720077417054,0.5599999999999996,0.009999999999999787
2010-02-05,0.49027079188779954,0.79,0.06000000000000005
2010-02-08,0.5375817675787063,0.8599999999999994,0.07999999999999963
2010-02-09,0.47845770430526546,0.8099999999999996,-4.440892098500626e-16
2010-02-10,0.47729858944752035,0.8999999999999995,0.029999999999999805
2010-02-11,0.4329306060336826,0.9400000000000004,0.009999999999999787
2010-02-12,0.3657130274829309,0.9300000000000006,-0.03000000000000025
2010-02-16,0.29580344366460365,0.9099999999999993,-0.07000000000000028
2010-02-17,0.20941211541876736,0.6399999999999997,-0.14000000000000057
2010-02-18,-0.03295620081943662,0.41000000000000014,-0.17000000000000037
2010-02-19,-0.2888382163861136,0.1999999999999993,-0.08000000000000052
2010-02-22,-0.22326263488230058,0.08000000000000007,-0.12000000000000055
2010-02-23,-0.11770254651013956,0.15999999999999925,-0.07000000000000028
2010-02-24,-0.1117427669688027,0.16999999999999993,-0.10000000000000053
2010-02-25,-0.14562652039435975,0.2400000000000002,-0.040000000000000036
2010-02-26,-0.21298253425677982,0.20000000000000018,-0.020000000000000018
2010-03-01,-0.21019295041876862,0.1200000000000001,-4.440892098500626e-16
2010-03-02,-0.17144038022188246,0.040000000000000036,-0.020000000000000018
2010-03-03,-0.1890941287490271,0.08000000000000007,0.029999999999999805
2010-03-04,-0.4023432780576558,-0.09999999999999964,0.05999999999999961
2010-03-05,-0.4729380292505665,-0.4399999999999995,0.029999999999999805
2010-03-08,-0.4670178760173809,-0.5800000000000001,0.0
2010-03-09,-0.44047237651980553,-0.6499999999999995,0.0
2010-03-10,-0.38112313201431103,-0.7699999999999996,-0.010000000000000231
2010-03-11,-0.3518938696785652,-0.8300000000000001,0.04999999999999982
2010-03-12,-0.3271363835028238,-0.9199999999999999,0.09999999999999964
2010-03-15,-0.2519100392544461,-0.8899999999999997,0.1200000000000001
2010-03-16,-0.24801479557257666,-0.8599999999999994,0.1299999999999999
2010-03-17,-0.268287278597964,-0.6899999999999995,0.18999999999999995
2010-03-18,-0.2352527321474127,-0.6300000000000008,0.20999999999999996
2010-03-19,-0.1846251776122616,-0.5799999999999992,0.16999999999999993
2010-03-22,-0.186521925531402,-0.4800000000000004,0.25
2010-03-23,-0.28906101880410695,-0.5999999999999996,0.16999999999999993
2010-03-24,-0.16419249437862826,-0.7300000000000004,0.0900000000000003
2010-03-25,-0.10737266745520002,-0.8700000000000001,0.029999999999999805
2010-03-26,-0.11176105162132577,-0.8600000000000003,0.0
2010-03-29,-0.09203973697900547,-0.9199999999999999,-0.040000000000000036
2010-03-30,-0.10588326695670269,-0.8900000000000006,-0.009999999999999787
2010-03-31,-0.06864557752659761,-0.7400000000000002,0.0
2010-04-01,-0.0634004791657169,-0.7199999999999998,-0.029999999999999805
2010-04-05,-0.020694793852764404,-0.7399999999999993,-0.050000000000000266
2010-04-06,-0.08835072912712905,-0.6399999999999988,-0.020000000000000018
2010-04-07,-0.07162863037593548,-0.5300000000000002,-0.010000000000000231
2010-04-08,-0.11632453784542152,-0.47999999999999954,-0.009999999999999787
2010-04-09,-0.10949195475650575,-0.4900000000000002,-0.06000000000000005
2010-04-12,-0.11761028811042307,-0.4500000000000002,-0.05999999999999961
2010-04-13,-0.10170646462095778,-0.47999999999999954,-0.020000000000000018
2010-04-14,-0.12213856338638995,-0.6099999999999994,-0.08000000000000007
2010-04-15,-0.058802751087700056,-0.6100000000000003,-0.11999999999999966
2010-04-16,0.11379053979182752,-0.46999999999999886,-0.10999999999999988
2010-04-19,0.037176019133985605,-0.41000000000000014,-0.13999999999999968
2010-04-20,-0.04978013321845953,-0.4999999999999991,-0.10999999999999988
