,Intercept,VIX Tightness Shock,HY Spread Tightness Shock,T10Y2Y Tightness Shock,Equity Market Beta,TIPS Duration Beta,Credit Market Beta
Downside Market Shock,1.8482258909088833e-17,-0.3365541021708073,-0.3287389914546253,-0.12057003902897065,0.4226523263387692,0.10341290358677166,0.07506811025593055
Real Yield Shock,-1.958848393820295e-17,0.1550142449220614,-0.0013294652653294825,-0.04440838489154299,0.018993996403381685,-0.9283761967518297,-0.05617950127273984
