,VIX Tightness Shock,HY Spread Tightness Shock,T10Y2Y Tightness Shock,Equity Market Beta,TIPS Duration Beta,Credit Market Beta,Downside Market Shock,Real Yield Shock
VIX Tightness Shock,11.289438458835704,7.5911053299636295,3.403281851643115,-0.4959571405796148,-0.33973232095949335,-0.4878985712519385,0.9099338588035211,-0.10083002337460296
HY Spread Tightness Shock,7.5911053299636295,9.797331494888544,2.8467759747836014,-0.47471338470653957,-0.42120067766822344,-0.511028493582248,1.9393397786844444,-0.7203442632479656
T10Y2Y Tightness Shock,3.403281851643115,2.8467759747836014,11.246996958874897,0.13859176734722733,-0.3590849670489641,-0.1300126499652557,-1.1102742405834993,0.6044999464645634
Equity Market Beta,-0.4959571405796148,-0.47471338470653957,0.13859176734722733,11.171843760363307,6.125259238401086,7.202866665886019,-0.900587537644539,-0.20313348678011703
TIPS Duration Beta,-0.33973232095949335,-0.42120067766822344,-0.3590849670489641,6.125259238401086,11.927638692153998,8.735352204998653,0.5222922192944708,0.004427627133634949
Credit Market Beta,-0.4878985712519385,-0.511028493582248,-0.1300126499652557,7.202866665886019,8.735352204998653,11.556403118153298,0.40925187035530075,-0.2265590208932689
Downside Market Shock,0.9099338588035211,1.9393397786844444,-1.1102742405834993,-0.900587537644539,0.5222922192944708,0.40925187035530075,9.864339862304048,-4.369806440330416
Real Yield Shock,-0.10083002337460296,-0.7203442632479656,0.6044999464645634,-0.20313348678011703,0.004427627133634949,-0.2265590208932689,-4.369806440330416,11.302965091238905
