,Intercept,VIX Tightness Shock,HY Spread Tightness Shock,T10Y2Y Tightness Shock
Equity Market Beta,7.680894765701995e-18,-0.357590205823217,-0.49988959257896604,-0.029967289839197466
TIPS Duration Beta,9.457969889041518e-18,-0.13713127065081648,0.04502556550638781,0.009238870644690476
Credit Market Beta,7.418865123468878e-17,-0.26062074099616694,-0.5680586505721162,-0.18965493123764135
