,VIX Tightness Shock,HY Spread Tightness Shock,T10Y2Y Tightness Shock,Equity Market Beta,TIPS Duration Beta,Credit Market Beta,Downside Market Shock,Real Yield Shock
VIX Tightness Shock,1.0,0.6871377514431992,-0.25595353651589464,0.1055226066364639,-0.19789841053823515,-0.2519261479790415,-0.17610376811893977,-0.48297907273185464
HY Spread Tightness Shock,0.6871377514431992,1.0,-0.2215117516674396,0.36770882934533694,-0.2614317037685367,-0.428586394585232,-0.3089551830942597,-0.543389390156182
T10Y2Y Tightness Shock,-0.25595353651589464,-0.2215117516674396,1.0,-0.004528531594112054,0.15133737029873795,0.27631384788790553,0.10519220701392502,0.1866190844656668
Equity Market Beta,0.1055226066364639,0.36770882934533694,-0.004528531594112054,1.0,0.3040601194160994,0.23326310903852826,-0.38530432525195385,-0.1359249675662313
TIPS Duration Beta,-0.19789841053823515,-0.2614317037685367,0.15133737029873795,0.3040601194160994,1.0,0.7371499620505447,-0.2235757702839646,0.5040874372400762
Credit Market Beta,-0.2519261479790415,-0.428586394585232,0.27631384788790553,0.23326310903852826,0.7371499620505447,1.0,-0.23609949553867993,0.40651544340889934
Downside Market Shock,-0.17610376811893977,-0.3089551830942597,0.10519220701392502,-0.38530432525195385,-0.2235757702839646,-0.23609949553867993,1.0,0.1221627843653314
Real Yield Shock,-0.48297907273185464,-0.543389390156182,0.1866190844656668,-0.1359249675662313,0.5040874372400762,0.40651544340889934,0.1221627843653314,1.0
