,Regime Tightness Risk,Equity Market Beta,TIPS Duration Beta,Credit Market Beta,Downside Market Shock,Real Yield Shock,Specific Risk
2013-02-05,0.16362420004918218,0.003445151930088631,0.13095345613870638,0.004938468724148004,0.03443486581683349,-0.0005106307865925929,0.6631144881276338
2013-03-07,0.1338567726154721,0.009155222346453974,0.1706543333476452,0.0012560445964773601,0.024609703423510453,-0.0003893108312705491,0.6608572345017115
2013-04-08,0.11086216122137688,0.05555682420375049,0.1007304710864675,0.010505204864586993,0.015478081424229071,0.0007041715064289156,0.7061630856931602
2013-05-07,0.10710118712247192,0.014925580101917534,0.07000500240904789,0.008012031311666322,7.097118063932879e-06,9.444369010223121e-05,0.7998546582467302
2013-06-06,0.25613238552708284,0.0637444651930709,0.02922717802188871,0.0010013403046064129,-0.0023951203090783455,0.02582809333753622,0.6264616579248932
2013-07-08,0.14660908504225045,0.3183415392902949,-0.002803960713743246,0.01777930408120825,0.0009870908139143102,8.679625420930549e-05,0.519000145231866
2013-08-06,0.20279561708395694,0.20841223702849745,0.0029993900141327954,0.01002740296903663,0.0001407705582277034,0.0010331373333814437,0.5745914450127669
2013-09-05,0.310015155366166,0.18706537826776698,-0.0009744891112523269,0.002627034023860285,0.0008081704110881718,0.0060230532829671024,0.49443569775940377
2013-10-04,0.3165583063843941,0.09367086008134062,0.013992713888789522,0.025953901776970777,0.004364549340060076,0.00172354618646961,0.5437361223419752
2013-11-04,0.3077359068748477,0.10784788169621934,0.02429539957285646,0.013885154003255117,0.0051731042041498,0.013251863432611317,0.5278106902160603
2013-12-04,0.3215217532094314,0.07288675726374313,0.02742756290030587,0.028822216074107614,0.0025955105780032053,0.000618205232157393,0.5461279947422514
2014-01-06,0.33129689915787985,0.03400504591032254,0.019624857347437123,0.03870099249031559,0.0014540297741863694,0.0020832599603937455,0.5728349153594647
2014-02-05,0.38955150422686086,0.0863353939017841,0.024021155930884237,0.013695951296993008,0.034803789709065475,5.887205691948297e-05,0.4515333328774927
2014-03-07,0.25901495796843377,0.0690691912703124,0.0019514991253308924,0.0008534704720586782,0.04555560330450414,0.00042308473045079415,0.6231321931289093
2014-04-07,0.27898958649822175,0.09718301125204076,0.00591274358442066,0.011249778185863939,0.03678957835252296,0.0008495805063931255,0.5690257216205367
2014-05-07,0.2435735591242078,0.12398914452506431,-0.0030899394924423567,0.009134432966095339,0.06255606387962044,0.008165427835432856,0.5556713111620217
2014-06-06,0.28604907561256016,0.10545337858297427,-0.0040691320425093975,0.015307751904464305,0.05859165477111711,0.0018462181300398972,0.5368210530413537
2014-07-08,0.28482705889450727,0.13416615892090145,-0.005029469766000615,0.026926964147801574,0.06344208637792671,0.0049871250448034745,0.4906800763800601
2014-08-06,0.2572241776394664,0.16861563469287083,-0.003923957472223553,0.05345972477638185,0.032200173175327765,0.007400565332974879,0.4850236818552018
2014-09-05,0.27411587344990096,0.10828202806328457,0.002388307322557046,0.0015821457448016627,0.06398400392658928,0.0011569482526569534,0.5484906932402094
2014-10-06,0.3038567549715813,0.16594122285469448,0.016630740491090146,0.025797634381804407,0.15555359769133864,0.0008245596330714232,0.33139548997641954
2014-11-04,0.4609785425957582,0.06620922623583896,0.007622826375478159,0.015549167411765666,0.0003344471254791908,0.005969743566726848,0.44333604668895304
2014-12-04,0.3120201735785162,-0.000165195053357688,0.02733884306365821,0.005913192372900139,0.2522803161027935,-0.00015934394862147526,0.4027720138841111
