,VIX Tightness Shock,HY Spread Tightness Shock,T10Y2Y Tightness Shock,Equity Market Beta,TIPS Duration Beta,Credit Market Beta,Downside Market Shock,Real Yield Shock
VIX Tightness Shock,15.901709078643595,8.57280584776768,-2.830382845780485,4.588228976522603,0.11810168716560683,2.431328322130551,-8.198709910122513,-6.160066490289242
HY Spread Tightness Shock,8.57280584776768,25.820959668269005,-3.8507026324231775,2.612107455441016,1.0948115057610122,-0.35941625613714556,-19.375764430046942,-0.13628560477801333
T10Y2Y Tightness Shock,-2.830382845780485,-3.8507026324231775,12.293252335597144,0.5851487858893331,1.7423579221563623,2.170437353710522,4.98240277856174,1.053803237204443
Equity Market Beta,4.588228976522603,2.612107455441016,0.5851487858893331,23.998447585437948,-5.676585234923108,1.41476714369211,12.481118143794834,-0.5850865941411596
TIPS Duration Beta,0.11810168716560683,1.0948115057610122,1.7423579221563623,-5.676585234923108,13.593485352628985,6.140333461316281,-8.159196401204905,1.181342825484263
Credit Market Beta,2.431328322130551,-0.35941625613714556,2.170437353710522,1.41476714369211,6.140333461316281,17.123520765647495,-2.0099288617168467,0.5413119506173858
Downside Market Shock,-8.198709910122513,-19.375764430046942,4.98240277856174,12.481118143794834,-8.159196401204905,-2.0099288617168467,41.343434496197176,1.398385162521947
Real Yield Shock,-6.160066490289242,-0.13628560477801333,1.053803237204443,-0.5850865941411596,1.181342825484263,0.5413119506173858,1.398385162521947,21.772775553852064
