,Macro Tightness Shock,Downside Market,Credit Liquidity Shock,Real Yield Shock,Curve Shock
Macro Tightness Shock,12.006352567496057,-3.0423553759537296,3.5691309188047224,2.4397112633705413,2.9245432151146122
Downside Market,-3.0423553759537296,12.006352567496005,-5.629924737722698,-4.466803526019214,-5.720826280220083
Credit Liquidity Shock,3.5691309188047224,-5.629924737722698,12.006352567496029,2.71243515993445,9.42813741717098
Real Yield Shock,2.4397112633705413,-4.466803526019214,2.71243515993445,12.00635256749607,3.0526790827363945
Curve Shock,2.9245432151146122,-5.720826280220083,9.42813741717098,3.0526790827363945,12.006352567496007
