forecast_date,realized_start_date,realized_end_date,predicted_volatility,realized_volatility,forecast_error
2013-02-05,2013-02-06,2014-02-05,0.07107124689521921,0.09840865855440163,0.027337411659182423
2013-03-07,2013-03-08,2014-03-07,0.060656657070499644,0.09759124077919068,0.036934583708691036
2013-04-08,2013-04-09,2014-04-08,0.07573701198070118,0.10274401045707864,0.027006998476377456
2013-05-07,2013-05-08,2014-05-07,0.05989973879679204,0.09277371840447625,0.032873979607684206
2013-06-06,2013-06-07,2014-06-06,0.06845639146952573,0.08823780279720903,0.019781411327683296
2013-07-08,2013-07-09,2014-07-08,0.07222086566379395,0.08011536102183044,0.00789449535803649
2013-08-06,2013-08-07,2014-08-06,0.0697248020303778,0.0862406744153858,0.016515872385008
2013-09-05,2013-09-06,2014-09-05,0.0668852711119499,0.08299932878502415,0.01611405767307425
2013-10-04,2013-10-07,2014-10-03,0.06920912060248845,0.08145372804827845,0.012244607445790007
2013-11-04,2013-11-05,2014-11-04,0.0662965966455626,0.08320216224023479,0.016905565594672184
2013-12-04,2013-12-05,2014-12-04,0.06374537941484136,0.08185899754635569,0.018113618131514325
2014-01-06,2014-01-07,2015-01-06,0.06627371001598976,0.08672707996973625,0.020453369953746484
2014-02-05,2014-02-06,2015-02-05,0.0801717380230962,0.09243195084017743,0.012260212817081229
2014-03-07,2014-03-10,2015-03-06,0.07960219798658776,0.09246027485451835,0.012858076867930598
2014-04-07,2014-04-08,2015-04-07,0.0715615572513464,0.09297981243009636,0.021418255178749956
2014-05-07,2014-05-08,2015-05-07,0.06843926084747533,0.09542718948341723,0.026987928635941905
2014-06-06,2014-06-09,2015-06-05,0.0658281241502636,0.10083172327868642,0.035003599128422824
2014-07-08,2014-07-09,2015-07-08,0.06883505148924757,0.10079979981930251,0.03196474833005494
2014-08-06,2014-08-07,2015-08-06,0.06383046869377748,0.09926898496031605,0.03543851626653857
2014-09-05,2014-09-08,2015-09-04,0.06300043048213638,0.1171429248151559,0.054142494333019514
2014-10-06,2014-10-07,2015-10-06,0.06863130578970156,0.10966675308448319,0.04103544729478163
2014-11-04,2014-11-05,2015-11-04,0.07466958792600044,0.11599667909217436,0.04132709116617392
2014-12-04,2014-12-05,2015-12-04,0.0739159810944763,0.1197357365407162,0.04581975544623991
2015-01-06,2015-01-07,2016-01-06,0.07428450798381642,0.11958005953109532,0.045295551547278906
2015-02-05,2015-02-06,2016-02-05,0.07165568739713672,0.12218884447819225,0.05053315708105553
2015-03-09,2015-03-10,2016-03-09,0.06987678507924444,0.11443057476280903,0.04455378968356459
2015-04-08,2015-04-09,2016-04-08,0.0655355088809556,0.1136372575607788,0.0481017486798232
2015-05-07,2015-05-08,2016-05-06,0.06566743528427106,0.10896395615707175,0.043296520872800684
2015-06-08,2015-06-09,2016-06-08,0.07298462818930863,0.11190518526715554,0.038920557077846904
2015-07-08,2015-07-09,2016-07-08,0.07151735113824616,0.1081972346194132,0.03667988348116705
2015-08-06,2015-08-07,2016-08-05,0.07654688203740968,0.11471715882943227,0.03817027679202259
2015-09-04,2015-09-08,2016-09-02,0.07695279128208739,0.10573643175273706,0.02878364047064967
2015-10-06,2015-10-07,2016-10-06,0.07647980653390805,0.10988048930515301,0.03340068277124496
2015-11-04,2015-11-05,2016-11-04,0.07704841642658514,0.11681436478358641,0.03976594835700127
2015-12-04,2015-12-07,2016-12-02,0.07079193168775996,0.10618315722694964,0.03539122553918968
2016-01-06,2016-01-07,2017-01-06,0.07353027215949236,0.10286455939149868,0.029334287232006317
2016-02-05,2016-02-08,2017-02-03,0.07512171978002859,0.1029279514585845,0.027806231678555907
2016-03-08,2016-03-09,2017-03-08,0.06675795280049603,0.09527189598816374,0.028513943187667715
2016-04-07,2016-04-08,2017-04-07,0.0581712994226847,0.091437429857857,0.03326613043517229
2016-05-06,2016-05-09,2017-05-05,0.05298867195019111,0.09388880081561905,0.040900128865427945
2016-06-07,2016-06-08,2017-06-07,0.05335537295214504,0.08900729660548978,0.03565192365334474
2016-07-07,2016-07-08,2017-07-07,0.06001982578339693,0.09339971512688068,0.03337988934348375
2016-08-05,2016-08-08,2017-08-04,0.06171207511660078,0.10887034720963128,0.047158272093030494
2016-09-06,2016-09-07,2017-09-06,0.07284805711876548,0.09970480473817568,0.026856747619410204
2016-10-05,2016-10-06,2017-10-05,0.07233373437297978,0.09587389098399429,0.02354015661101451
2016-11-03,2016-11-04,2017-11-03,0.07864659262279745,0.1013283266208995,0.02268173399810204
2016-12-05,2016-12-06,2017-12-05,0.07503678994314851,0.09717504532401897,0.022138255380870456
2017-01-05,2017-01-06,2018-01-05,0.07630239440239012,0.09974316482658245,0.023440770424192334
2017-02-06,2017-02-07,2018-02-06,0.07611628759414178,0.11459829272427119,0.03848200513012941
2017-03-08,2017-03-09,2018-03-08,0.07316051253806079,0.11655088146670507,0.043390368928644285
2017-04-06,2017-04-07,2018-04-06,0.07766571863923304,0.12540661547231663,0.04774089683308359
2017-05-08,2017-05-09,2018-05-08,0.06698861794566495,0.12808866184632925,0.0611000439006643
2017-06-07,2017-06-08,2018-06-07,0.07030260345058882,0.12824671286076392,0.057944109410175096
2017-07-07,2017-07-10,2018-07-06,0.0907857994974546,0.12262583301520932,0.03184003351775472
2017-08-07,2017-08-08,2018-08-07,0.08994402745249704,0.12018506928182068,0.030241041829323648
2017-09-06,2017-09-07,2018-09-06,0.07617218937974164,0.12059737578322408,0.04442518640348243
2017-10-05,2017-10-06,2018-10-05,0.07751704006270987,0.1174296482791507,0.039912608216440826
2017-11-03,2017-11-06,2018-11-02,0.07448067493452598,0.12722795964954883,0.05274728471502285
2017-12-05,2017-12-06,2018-12-04,0.08885178122608435,0.13528220689738338,0.04643042567129903
2018-01-05,2018-01-08,2019-01-04,0.08847133814813522,0.141797941397795,0.05332660324965978
2018-02-06,2018-02-07,2019-02-06,0.13028072438353291,0.14153262655207882,0.011251902168545908
2018-03-08,2018-03-09,2019-03-08,0.1011002252244556,0.13804264337039424,0.03694241814593864
2018-04-09,2018-04-10,2019-04-09,0.09468825755684243,0.11895142520314991,0.024263167646307482
2018-05-08,2018-05-09,2019-05-08,0.10011760835719292,0.11842574589729689,0.018308137540103964
2018-06-07,2018-06-08,2019-06-07,0.09239310329219926,0.1332620492181316,0.040868945925932335
2018-07-09,2018-07-10,2019-07-09,0.09897451026879066,0.1205589683865661,0.021584458117775443
2018-08-07,2018-08-08,2019-08-07,0.09406146980215871,0.12790524556047866,0.033843775758319955
2018-09-06,2018-09-07,2019-09-06,0.08664394347907818,0.1435909617855705,0.056947018306492306
2018-10-05,2018-10-08,2019-10-04,0.1090416197652279,0.14608923664425802,0.03704761687903012
2018-11-05,2018-11-06,2019-11-05,0.09661793414095647,0.14162393002155546,0.04500599588059899
2018-12-06,2018-12-07,2019-12-06,0.12084838565106781,0.13311697582549434,0.012268590174426525
2019-01-08,2019-01-09,2020-01-08,0.12423123013047092,0.11737593201795507,-0.0068552981125158535
2019-02-07,2019-02-08,2020-02-07,0.12867140821272632,0.11519915991397513,-0.013472248298751197
2019-03-11,2019-03-12,2020-03-11,0.12016899778863589,0.14397117159752035,0.023802173808884455
2019-04-09,2019-04-10,2020-04-09,0.1207099428984037,0.2881023948527982,0.1673924519543945
2019-05-09,2019-05-10,2020-05-08,0.10439941306850441,0.29530059845448114,0.19090118538597672
2019-06-10,2019-06-11,2020-06-10,0.11101200005334917,0.3036431036386663,0.19263110358531715
2019-07-10,2019-07-11,2020-07-10,0.08810797281036775,0.2561872685287987,0.16807929571843094
2019-08-08,2019-08-09,2020-08-07,0.08448389296594608,0.30641024158816105,0.22192634862221497
2019-09-09,2019-09-10,2020-09-09,0.08060462978545518,0.28052775963588766,0.19992312985043248
2019-10-08,2019-10-09,2020-10-08,0.07879872387812846,0.24859440652202375,0.16979568264389527
2019-11-06,2019-11-07,2020-11-06,0.08325012972893554,0.2983645415041214,0.21511441177518587
2019-12-06,2019-12-09,2020-12-04,0.07810570185650882,0.29221377985418384,0.214108077997675
2020-01-08,2020-01-09,2021-01-08,0.07764525348054362,0.3051543462644346,0.22750909278389098
2020-02-07,2020-02-10,2021-02-05,0.11956757381220232,0.30775539701355875,0.18818782320135644
2020-03-10,2020-03-11,2021-03-10,0.1640203393664442,0.22517151201749547,0.06115117265105127
2020-04-08,2020-04-09,2021-04-08,0.31461268081939026,0.1238285471934044,-0.19078413362598584
2020-05-08,2020-05-11,2021-05-07,0.22080319384595687,0.09314912007380374,-0.12765407377215313
2020-06-09,2020-06-10,2021-06-09,0.18920774446139693,0.09175243754040911,-0.09745530692098782
2020-07-09,2020-07-10,2021-07-09,0.1308431322947631,0.09357692204436745,-0.03726621025039566
2020-08-07,2020-08-10,2021-08-06,0.11238201475845849,0.09123237808596721,-0.021149636672491284
