Date,Downside Market Shock,Real Yield Shock
2018-09-21,0.509589942362645,-2.025022395014846
2018-09-24,0.6179122508726187,-2.6938321096648825
2018-09-25,0.9882345768437969,-2.8850284427875095
2018-09-26,1.4478610481366934,-1.9205852026978891
2018-09-27,1.2408117880781715,-1.9427464905517466
2018-09-28,1.473721411113065,-2.1034420266787786
2018-10-01,1.1987684695991785,-2.299267947904761
2018-10-02,1.2442621561730738,-2.1938454008247885
2018-10-03,1.2084168086352725,-2.8525117564520053
2018-10-04,1.4613450192049806,-2.778367624189151
2018-10-05,1.7010606344085348,-3.329721206429239
2018-10-08,1.5105974443699919,-2.246306876905522
2018-10-09,1.526013380494392,-3.280637010072847
2018-10-10,-0.034998805514762116,-2.276489662901212
2018-10-11,-1.2111551499219053,-3.91982603313655
2018-10-12,-0.9445706742918341,-3.134589192857788
2018-10-15,-1.251811724320589,-2.5727597066466057
2018-10-16,0.097600424009805,-3.097668151776746
2018-10-17,-0.08093360442926655,-2.223384739288377
2018-10-18,-0.8800894520724776,-2.841821243875183
2018-10-19,-1.2173623843506092,-3.6713042654688484
2018-10-22,-1.3976078293783951,-3.651889317144224
2018-10-23,-1.6058418851222482,-3.277561689189169
2018-10-24,-3.113313117859484,-3.22252346891597
2018-10-25,-2.0268391598943816,-5.124025840539837
2018-10-26,-3.095213062922047,-4.523998945874887
2018-10-29,-3.251912657167811,-4.511769543253293
2018-10-30,-2.7604427918336696,-2.56242468857258
2018-10-31,-2.120137150084347,-5.156643871095481
2018-11-01,-1.8852526706994517,-1.3514605550954344
2018-11-02,-1.6816340116820183,-2.1749361682867554
2018-11-05,-1.274507292262936,-1.45603092433519
2018-11-06,-1.0132756780387646,-2.1708443302708442
2018-11-07,0.2525545221701321,-2.085843525460982
2018-11-08,1.0577472653369098,-2.09651895984755
2018-11-09,0.5271912897223877,-1.4570256107321575
2018-11-12,1.047941253288944,0.1235749683127891
2018-11-13,1.1234370278890473,-2.123965262112754
2018-11-14,-0.38374637985644655,-2.3719447957821775
2018-11-15,-0.05782012988901855,-0.8616892612013143
2018-11-16,0.6295909632393484,-1.0550235541910111
2018-11-19,-0.239500620657188,-0.9801892531701764
2018-11-20,-0.9086982728589086,-1.6189804042906522
2018-11-21,-0.4022834614030498,-1.6998964603459872
2018-11-23,1.0556563405131423,-4.035001090980396
2018-11-26,0.9306515428187735,0.31981689220503245
2018-11-27,0.9621134703624625,-4.5103134314640885
2018-11-28,-0.5686155195069588,-1.6011732704823296
2018-11-29,0.07113994960978048,0.6363886678231209
2018-11-30,0.2618567455837647,-0.13330631091618275
2018-12-03,0.08610665016658253,0.1487314799465547
2018-12-04,0.6914560471616448,0.8923160613273906
2018-12-06,0.2523380287244119,-1.7648509863828914
2018-12-07,-1.2829598251553775,-0.5147428064888357
2018-12-10,-2.0133142334397895,-1.7669645086946582
2018-12-11,-1.903831661555395,-0.47872962444812683
2018-12-12,-1.095686280293749,-2.341082334114079
2018-12-13,-0.2419001291621539,-2.3667980274091005
2018-12-14,-1.049622360854545,-0.8932822401141239
2018-12-17,-1.6187637980486327,-0.8521271636461228
2018-12-18,-2.295231038310404,-0.9716464539658952
2018-12-19,-2.968800511426149,-2.0553673793758334
2018-12-20,-3.011704125127525,-1.88979552950123
2018-12-21,-3.2448081088675287,-2.663453997425022
2018-12-24,-4.5536967429320185,-3.2842424051330106
2018-12-26,-2.4330872274728543,-0.9557464120466479
2018-12-27,-2.7246123898723726,-1.6625970960855816
2018-12-28,-3.101652585994747,-1.1938163305585232
2018-12-31,-3.717918743681302,-1.1313145051959992
2019-01-02,-3.3056157705169595,-1.735886299459817
2019-01-03,-5.247464606801064,-1.0479955613295693
2019-01-04,-4.13587116385439,-1.1305339808525003
2019-01-07,-2.3206207276621997,-0.47515934883606736
2019-01-08,-1.6767697609789467,0.09769795134963695
2019-01-09,-0.19710221303656025,0.2897333306666146
2019-01-10,-0.16814189826085277,0.1436803524889546
2019-01-11,-0.2716841503802996,-0.6705749897462893
2019-01-14,-0.7672380140264965,-1.1192746724402534
2019-01-15,-0.08543781791695812,-1.358024410380972
2019-01-16,0.3125438753810137,-1.2496113383598515
2019-01-17,-1.0407277572073677,0.15827702301843993
2019-01-18,-1.4739106174267513,-0.2706220586731339
2019-01-22,-1.3871055012641544,0.2291649189302576
2019-01-23,-2.4985375628388886,-0.09823671973091219
2019-01-24,-3.6580495527257346,1.3952974931024495
2019-01-25,-5.496041443298574,1.8498624922882465
2019-01-28,-2.1694879082044327,-0.1934253210026124
2019-01-29,-1.8967568818852187,0.694836895569104
2019-01-30,-2.9159315744755974,0.8852647185159687
2019-01-31,-3.154221529295586,1.060164356439293
2019-02-01,-2.874509531599193,0.460006801238277
2019-02-04,-4.5815796384856435,0.27738632728969176
2019-02-05,-2.947061585000719,-0.07230375581874976
2019-02-06,-2.3629212019875943,-0.9800153016791983
2019-02-07,-1.3812107696504012,-1.5988703918460605
2019-02-08,-1.1852236835730392,-2.0804096130018674
2019-02-11,-0.9132521697785576,-2.1318507607026786
2019-02-12,-1.5200282219862613,-0.6164597717147347
2019-02-13,-2.0404203964986727,-0.3608147361888814
2019-02-14,-1.5200753315150666,-0.14580550909278467
2019-02-15,-1.9203309622426068,-0.32534667829489483
