,2026-05-31
VIX Tightness Shock,-0.01222944457442763
HY Spread Tightness Shock,-0.00427439848000817
T10Y2Y Tightness Shock,-0.015156375042019698
Equity Market Beta,-0.012774510071747982
TIPS Duration Beta,-0.006730995151122821
Credit Market Beta,-0.004898820174739276
Downside Market Shock,-0.005534263223138075
Real Yield Shock,-0.0016138473278530692
