,Factor Risk,Specific Risk,Predicted Volatility
2013-02-05,0.3009201928763898,0.6990798071236102,0.06592116608067221
2013-03-07,0.18226022864237731,0.8177397713576227,0.05695218466209023
2013-04-08,0.15199718741417165,0.8480028125858283,0.06359450591121715
2013-05-07,0.17680459865394316,0.8231954013460568,0.06406500262711802
2013-06-06,0.29098994602809813,0.7090100539719019,0.06431517079148437
2013-07-08,0.5498050938432657,0.45019490615673435,0.07739497281222277
2013-08-06,0.6037977491651917,0.3962022508348083,0.08945054415095027
2013-09-05,0.5384875024113153,0.4615124975886848,0.08640068384077473
2013-10-04,0.4900415841196754,0.5099584158803246,0.08016641684124985
2013-11-04,0.42862437966657524,0.5713756203334248,0.0761068021605188
2013-12-04,0.44451766045539864,0.5554823395446014,0.07352495061172716
2014-01-06,0.4289022403983388,0.5710977596016612,0.06928577413867738
2014-02-05,0.4217377903184759,0.5782622096815241,0.06929182965487109
2014-03-07,0.33614324766633974,0.6638567523336603,0.083432237592947
2014-04-07,0.42931303138213917,0.5706869686178608,0.08000798316913502
2014-05-07,0.3828682826243251,0.617131717375675,0.07721144298189152
2014-06-06,0.41334786724822653,0.5866521327517735,0.07342533447707515
2014-07-08,0.341212187710975,0.6587878122890249,0.06625258253341164
2014-08-06,0.37721738102531516,0.6227826189746849,0.06718729018937787
2014-09-05,0.44269238493648183,0.5573076150635181,0.07083372311850965
2014-10-06,0.4427582021960307,0.5572417978039694,0.06474055203677087
2014-11-04,0.3909967199511428,0.6090032800488572,0.08285999468245404
2014-12-04,0.4979715815418884,0.5020284184581115,0.09799794194305637
2015-01-06,0.5125008095187495,0.48749919048125046,0.08237002981746931
2015-02-05,0.3399902132805194,0.6600097867194805,0.08420157151455251
2015-03-09,0.23654463298941375,0.7634553670105862,0.0729805853816793
2015-04-08,0.38830554188327837,0.6116944581167216,0.07773377723828144
2015-05-07,0.4898372284527906,0.5101627715472093,0.08429263119246766
2015-06-08,0.5160837377107146,0.4839162622892854,0.08448842688604803
2015-07-08,0.4942916649224767,0.5057083350775232,0.07879373698308127
2015-08-06,0.49599637770823435,0.5040036222917657,0.08502603364788984
2015-09-04,0.660032765003718,0.33996723499628195,0.09577666541930813
2015-10-06,0.677496373291009,0.322503626708991,0.09527665219269411
2015-11-04,0.7124632563903398,0.28753674360966014,0.10240455959757822
2015-12-04,0.6398669986931269,0.36013300130687315,0.09436093392249306
2016-01-06,0.6517871804696804,0.34821281953031946,0.09278944024839249
2016-02-05,0.6051826857427101,0.3948173142572899,0.09522706240349779
2016-03-08,0.5658806707540881,0.43411932924591184,0.08944095002261444
2016-04-07,0.6027924304396938,0.39720756956030623,0.08322542851263429
2016-05-06,0.5448081188431784,0.45519188115682163,0.07740582816658281
2016-06-07,0.5628786073869327,0.4371213926130673,0.0733907181091007
2016-07-07,0.5134500267705795,0.4865499732294205,0.07181706927557316
2016-08-05,0.5499253165665382,0.45007468343346185,0.08252790743049439
2016-09-06,0.5718592058060705,0.4281407941939295,0.08417349768965932
2016-10-05,0.714186798266498,0.28581320173350194,0.1073678355781005
2016-11-03,0.7099463425393511,0.2900536574606489,0.10081917244207625
2016-12-05,0.5706995663984752,0.4293004336015248,0.10147888686412067
2017-01-05,0.46557829359992897,0.534421706400071,0.10079730512885199
2017-02-06,0.4161566287940778,0.5838433712059222,0.09219248756944329
2017-03-08,0.36756207584854883,0.6324379241514512,0.08277615442825945
2017-04-06,0.3474411283016586,0.6525588716983415,0.0817533067176931
2017-05-08,0.30545716133978135,0.6945428386602187,0.07909425918517811
2017-06-07,0.29714780536584345,0.7028521946341566,0.0726590402503852
2017-07-07,0.30504732250881267,0.6949526774911873,0.07988841427929508
2017-08-07,0.2263319426003852,0.7736680573996148,0.09142808540290247
2017-09-06,0.12684122996163394,0.873158770038366,0.08925700592311508
2017-10-05,0.12731658584992048,0.8726834141500794,0.09297331318770435
2017-11-03,0.1674710199572648,0.8325289800427352,0.08193547479055374
2017-12-05,0.2264285792004528,0.7735714207995472,0.08509205931085785
2018-01-05,0.33527068111868513,0.6647293188813148,0.09664598360088948
2018-02-06,0.3432206111591023,0.6567793888408977,0.0974478360097507
2018-03-08,0.5969647071382935,0.40303529286170636,0.12326807639473152
2018-04-09,0.5550705460142847,0.4449294539857153,0.11844703206783277
2018-05-08,0.38741445739686853,0.6125855426031315,0.11682392184496687
2018-06-07,0.26494492362447425,0.7350550763755257,0.11120500835555056
2018-07-09,0.1882480637730035,0.8117519362269966,0.11029416497067963
2018-08-07,0.2307986988915068,0.7692013011084932,0.10675657889863284
2018-09-06,0.3606692346377453,0.6393307653622547,0.10471092282714771
2018-10-05,0.38021196996994,0.61978803003006,0.10331531079889891
2018-11-05,0.5513539591121095,0.44864604088789056,0.12241054502047401
2018-12-06,0.3270526476295332,0.6729473523704668,0.11103067788715593
2019-01-08,0.6928601241815422,0.3071398758184578,0.143151097464906
2019-02-07,0.4969108479020874,0.5030891520979125,0.1165038652418366
2019-03-11,0.6441307411197,0.35586925888029997,0.1483156541824776
2019-04-09,0.6420507316698747,0.35794926833012536,0.14882799294715401
2019-05-09,0.5337012525260354,0.46629874747396466,0.13686565003412
2019-06-10,0.5250501671328126,0.47494983286718734,0.13421247970632483
2019-07-10,0.41179185571816407,0.5882081442818359,0.1077921820341738
2019-08-08,0.5522451633423117,0.44775483665768834,0.11557084453399456
2019-09-09,0.48579683793309514,0.5142031620669049,0.1013496152610051
2019-10-08,0.44569676278994885,0.5543032372100511,0.08683466960199901
2019-11-06,0.456507868014668,0.5434921319853321,0.10607947545282621
2019-12-06,0.4071689362579726,0.5928310637420273,0.09303601592920023
2020-01-08,0.39443249603941205,0.605567503960588,0.09724706957340909
2020-02-07,0.35653460646768503,0.643465393532315,0.09594871347746078
2020-03-10,0.4758856031739748,0.5241143968260251,0.1004199977020512
2020-04-08,0.8625826397719379,0.13741736022806206,0.1980115540885678
2020-05-08,0.8677328844053958,0.1322671155946042,0.2167870850721695
2020-06-09,0.8516571427269648,0.14834285727303514,0.1963083489085195
2020-07-09,0.8340349586156667,0.1659650413843333,0.1902861721559099
2020-08-07,0.838979456566527,0.16102054343347305,0.18003161452813934
2020-09-08,0.8786304508009161,0.12136954919908391,0.19961643312705377
2020-10-07,0.8773382242213369,0.12266177577866312,0.18836675348322068
2020-11-05,0.8641517190534188,0.13584828094658113,0.1736767112496975
2020-12-07,0.7793046506744502,0.22069534932554977,0.13749687140120728
2021-01-07,0.8198030111256761,0.18019698887432392,0.14661348836744678
2021-02-08,0.8125861851722721,0.18741381482772793,0.1367445264406327
2021-03-10,0.7159257542094539,0.2840742457905461,0.1067427325654357
