Date,Downside Market Shock,Real Yield Shock
2018-09-21,0.5587458592732056,1.292528309772679
2018-09-24,0.5587458592732056,1.3682396256832183
2018-09-25,0.5587458592732056,1.5196622575042964
2018-09-26,0.5587458592732056,1.292528309772679
2018-09-27,0.5587458592732056,0.989683046130521
2018-09-28,0.5587458592732056,0.989683046130521
2018-10-01,0.5587458592732056,1.3682396256832174
2018-10-02,0.5587458592732056,1.0653943620410604
2018-10-03,0.5587458592732056,1.3682396256832174
2018-10-04,0.5587458592732056,1.595373573414836
2018-10-05,0.5587458592732056,1.9739301529675333
2018-10-08,0.5587458592732056,1.9739301529675333
2018-10-09,0.5587458592732056,1.443950941593758
2018-10-10,-1.1107551226578878,1.5953735734148367
2018-10-11,-2.205652186266204,1.1411056779516
2018-10-12,-1.8244953316147168,1.292528309772679
2018-10-15,-2.1050080166178144,1.1411056779516
2018-10-16,-0.7893041013543053,0.989683046130521
2018-10-17,-1.047679162296963,1.2168169938621394
2018-10-18,-1.8104508553435168,1.0653943620410604
2018-10-19,-2.226275630981975,1.1411056779516
2018-10-22,-2.398252075378931,1.2168169938621394
2018-10-23,-2.483262100575716,1.1411056779516
2018-10-24,-3.888702465479396,0.7625490983989027
2018-10-25,-2.9144589258985687,1.0653943620410613
2018-10-26,-3.87737188175215,0.6868377824883632
2018-10-29,-4.1392770075866,0.7625490983989027
2018-10-30,-3.6175308147202507,1.1411056779516
2018-10-31,-3.0915199203772437,1.0653943620410613
2018-11-01,-2.615415204909314,1.3682396256832183
2018-11-02,-2.524462267834296,1.2168169938621385
2018-11-05,-1.9906010873155704,0.762549098398902
2018-11-06,-1.684973919025748,0.5354151506672835
2018-11-07,-0.571797680251665,0.762549098398902
2018-11-08,0.5587458592732056,0.762549098398902
2018-11-09,0.5587458592732056,0.9139717302199808
2018-11-12,-0.06408507358463708,0.9139717302199808
2018-11-13,0.12510535793918962,0.6111264665778247
2018-11-14,-1.2909919772101774,0.6111264665778247
2018-11-15,-0.7884242776174658,0.5354151506672852
2018-11-16,0.06754028422912728,-0.07027537661703055
2018-11-19,-0.7573521401360979,-0.07027537661703055
2018-11-20,-1.4548179237578691,-0.07027537661703055
2018-11-21,-1.037658290277502,-0.07027537661703055
2018-11-23,0.16202099160627215,0.0054359392935089115
2018-11-26,0.07299257191659732,0.5354151506672852
2018-11-27,0.5587458592732056,0.38399251884620456
2018-11-28,0.5587458592732056,0.6868377824883641
2018-11-29,0.5587458592732056,0.15685857111458787
2018-11-30,0.5587458592732056,-0.2974093243486489
2018-12-03,0.5587458592732056,-0.6759659039013463
2018-12-04,0.25203329952622505,-1.2059451152751226
2018-12-06,-0.10153868202597881,-1.5087903789172787
2018-12-07,-1.5759722104858078,-1.4330790630067394
2018-12-10,-2.5065729724336947,-1.2816564311856604
2018-12-11,-2.408814147389487,-0.7516772198118841
2018-12-12,-1.692997159030732,-0.7516772198118841
2018-12-13,-0.7844427565419213,-0.6002545879908051
2018-12-14,-1.607450863299765,-0.4488319561697279
2018-12-17,-2.233994821831357,-0.6002545879908068
2018-12-18,-2.782516219491687,-0.8273885357224252
2018-12-19,-3.61537656263492,-0.7516772198118857
2018-12-20,-3.58514664764429,-0.3731206402591884
2018-12-21,-3.6795316844509314,-0.6002545879908068
2018-12-24,-5.065242419926993,-0.8273885357224252
2018-12-26,-2.460786123949002,-0.4488319561697279
2018-12-27,-2.859336500080399,-0.6759659039013463
2018-12-28,-3.0793629732731747,-1.2816564311856604
2018-12-31,-3.7377536605511343,-1.1302337993645832
2019-01-02,-3.5872557459326457,-0.7516772198118857
2019-01-03,-4.9779382457033226,-1.2816564311856613
2019-01-04,-4.072148905237235,-0.9030998516329638
2019-01-07,-2.147779075788188,-0.44883195616972704
2019-01-08,-1.6216375777002712,-0.5245432720802665
2019-01-09,-0.23099553532364359,-0.44883195616972704
2019-01-10,-0.14954293918871486,-0.5245432720802665
2019-01-11,-0.14156120327498034,-1.4330790630067403
2019-01-14,-0.6972280806067696,-1.4330790630067403
2019-01-15,-0.11183694677097833,-1.3573677470962007
2019-01-16,0.5587458592732056,-1.2816564311856613
2019-01-17,0.5587458592732056,-0.7516772198118857
2019-01-18,0.5587458592732056,-0.4488319561697279
2019-01-22,0.5587458592732056,-0.22169800843810947
2019-01-23,0.5587458592732056,-0.6002545879908068
2019-01-24,0.5587458592732056,-0.6002545879908068
2019-01-25,0.5587458592732056,-0.22169800843810947
2019-01-28,0.5587458592732056,-0.6002545879908068
2019-01-29,0.5587458592732056,-0.7516772198118857
2019-01-30,0.5587458592732056,-1.0545224834540428
2019-01-31,0.5587458592732056,-1.5845016948278183
2019-02-01,0.5587458592732056,-1.1302337993645823
2019-02-04,0.5587458592732056,-0.22169800843810947
2019-02-05,0.5587458592732056,-0.6002545879908068
2019-02-06,0.5587458592732056,-0.6759659039013463
2019-02-07,0.5587458592732056,-0.8273885357224243
2019-02-08,0.5587458592732056,-0.8273885357224243
2019-02-11,0.5587458592732056,-0.8273885357224252
2019-02-12,0.5587458592732056,-0.2974093243486489
