,VIX Tightness Shock,HY Spread Tightness Shock,T10Y2Y Tightness Shock,Equity Market Beta,TIPS Duration Beta,Credit Market Beta,Downside Market Shock,Real Yield Shock
2013-02-05,0.03655677495062569,-0.012391536940016112,0.1394589620385726,0.003445151930088631,0.13095345613870638,0.004938468724148004,0.03443486581683349,-0.0005106307865925929
2013-03-07,0.10445369220269553,0.02881003788511235,0.0005930425276642253,0.009155222346453974,0.1706543333476452,0.0012560445964773601,0.024609703423510453,-0.0003893108312705491
2013-04-08,0.02665623414814149,0.005771228783626402,0.07843469828960899,0.05555682420375049,0.1007304710864675,0.010505204864586993,0.015478081424229071,0.0007041715064289156
2013-05-07,0.051851327611725166,0.04195320653441112,0.013296652976335635,0.014925580101917534,0.07000500240904789,0.008012031311666322,7.097118063932879e-06,9.444369010223121e-05
2013-06-06,-0.0007666320650662125,0.00046021080593374754,0.2564388067862153,0.0637444651930709,0.02922717802188871,0.0010013403046064129,-0.0023951203090783455,0.02582809333753622
2013-07-08,0.008383106785549495,0.1381205708814995,0.00010540737520146566,0.3183415392902949,-0.002803960713743246,0.01777930408120825,0.0009870908139143102,8.679625420930549e-05
2013-08-06,0.05199204792041009,0.15081044930211068,-6.880138563837116e-06,0.20841223702849745,0.0029993900141327954,0.01002740296903663,0.0001407705582277034,0.0010331373333814437
2013-09-05,0.07772199631122767,0.21862461360239077,0.013668545452547542,0.18706537826776698,-0.0009744891112523269,0.002627034023860285,0.0008081704110881718,0.0060230532829671024
2013-10-04,0.038550147178804915,0.27509171899068263,0.002916440214906567,0.09367086008134062,0.013992713888789522,0.025953901776970777,0.004364549340060076,0.00172354618646961
2013-11-04,0.06731073259871768,0.21996014822656051,0.02046502604956953,0.10784788169621934,0.02429539957285646,0.013885154003255117,0.0051731042041498,0.013251863432611317
2013-12-04,0.11230495309613192,0.2030131277570134,0.006203672356286054,0.07288675726374313,0.02742756290030587,0.028822216074107614,0.0025955105780032053,0.000618205232157393
2014-01-06,0.19404295362422683,0.12662618897625655,0.010627756557396473,0.03400504591032254,0.019624857347437123,0.03870099249031559,0.0014540297741863694,0.0020832599603937455
2014-02-05,0.20013557738453525,0.12520971177961454,0.06420621506271107,0.0863353939017841,0.024021155930884237,0.013695951296993008,0.034803789709065475,5.887205691948297e-05
2014-03-07,0.12350346740049632,0.09187082722466981,0.04364066334326761,0.0690691912703124,0.0019514991253308924,0.0008534704720586782,0.04555560330450414,0.00042308473045079415
2014-04-07,0.1368097066201442,0.1347902671738421,0.007389612704235479,0.09718301125204076,0.00591274358442066,0.011249778185863939,0.03678957835252296,0.0008495805063931255
2014-05-07,0.13582578114300398,0.09834553441752875,0.009402243563675078,0.12398914452506431,-0.0030899394924423567,0.009134432966095339,0.06255606387962044,0.008165427835432856
2014-06-06,0.1442153076444305,0.13005688851163483,0.011776879456494822,0.10545337858297427,-0.0040691320425093975,0.015307751904464305,0.05859165477111711,0.0018462181300398972
2014-07-08,0.12343950151823292,0.16062344925918665,0.0007641081170876876,0.13416615892090145,-0.005029469766000615,0.026926964147801574,0.06344208637792671,0.0049871250448034745
2014-08-06,0.16060292972258194,0.09748775589512115,-0.0008665079782366557,0.16861563469287083,-0.003923957472223553,0.05345972477638185,0.032200173175327765,0.007400565332974879
2014-09-05,0.13970907970068439,0.13571782358780818,-0.0013110298385916113,0.10828202806328457,0.002388307322557046,0.0015821457448016627,0.06398400392658928,0.0011569482526569534
2014-10-06,0.17672134591882535,0.12267192153541741,0.004463487517338557,0.16594122285469448,0.016630740491090146,0.025797634381804407,0.15555359769133864,0.0008245596330714232
2014-11-04,0.2653286848285242,0.19665585257398793,-0.0010059948067538706,0.06620922623583896,0.007622826375478159,0.015549167411765666,0.0003344471254791908,0.005969743566726848
2014-12-04,0.08125937732402015,0.23098431927047908,-0.0002235230159830441,-0.000165195053357688,0.02733884306365821,0.005913192372900139,0.2522803161027935,-0.00015934394862147526
2015-01-06,0.12423494508497755,0.08009743936641904,0.010769845175310664,0.07862851773774758,-0.020368950383898562,0.045520686471360025,0.35682478726523864,3.448592136243256e-05
2015-02-05,0.07873675974762945,0.0998364466968796,0.00958845874539276,0.0292642672960664,0.0019154786238047609,0.022790112100695138,0.24364016547488393,0.0025287700256241817
2015-03-09,0.023565112607135355,0.3560642761837834,-0.012794087482435634,-0.005807213925061452,0.01850864478355416,0.03142631111888918,0.08741182316200308,0.01894681302635502
2015-04-08,0.15886889664936613,0.045986297459679124,-0.0024186378611228683,0.015379418192465298,0.0364442193433042,0.011654943254104972,0.10429021955601558,0.128318375001732
2015-05-07,0.1931352232756128,0.021007250178489593,-0.0003267815358763069,0.0074263742967629635,0.09034443829175788,-0.010783132567335102,0.12629305447355782,0.11970756062548932
2015-06-08,0.22841861224728796,0.031983599949405785,0.02232600874182973,-7.471442423575787e-05,0.009631261770540156,-0.00856738189726759,0.2530514300663877,0.028852273062897185
2015-07-08,0.24296584598777496,0.15585215348779316,-0.008335858658849128,0.009462271514096583,0.0010387183605967132,0.01897379246931616,0.1634655377828672,0.0012885769352039135
2015-08-06,0.36502119526358273,0.048202469132779514,0.056765372895268784,0.02318299542075916,0.005305471570965406,0.000991474637233777,0.07550510282989253,-0.005904656917156312
2015-09-04,0.16558726997691092,0.029122879783682828,0.23164875701756268,0.06161994377517738,0.041116766588571614,0.007565906018139109,-5.793316771308092e-05,0.003086654802726998
2015-10-06,0.04783683291463028,0.16701495009261594,0.17054130721612956,0.001021021945992302,-0.00013083898523606833,0.0033638136092550832,0.03437195853278251,0.0059459823573203485
2015-11-04,0.0558433453371825,0.2541441497434649,0.15102139742996845,0.0032297493659535106,-0.00017574365794276786,0.0011220348969760978,-0.009832808515117607,0.008736498923336288
2015-12-04,0.06374684004623375,0.11766018852727106,0.22785292918562428,0.002292112404112014,-0.005925601274014761,0.0493716794861649,0.017451602290178964,-0.00021660277480254413
