Date,VIX Tightness Shock,HY Spread Tightness Shock,T10Y2Y Tightness Shock
2018-09-21,-0.925718702759697,-1.0320052802403445,-0.7113190132346005
2018-09-24,-0.6230648005845016,-0.8808260697440484,-0.8146058552603355
2018-09-25,-0.6081789208137507,-0.8430312671199751,-1.1244663813375413
2018-09-26,-0.5700145138019905,-0.6918520566236773,-0.4014584871573949
2018-09-27,-0.636590803231903,-0.7296468592477522,-0.2981716451316596
2018-09-28,-1.1303969785847108,-0.9564156749921949,-0.40145848715739463
2018-10-01,-0.8763840430586138,-1.220979293360714,-0.4014584871573949
2018-10-02,-0.9503884459963535,-1.1075948854884912,0.011688880945546003
2018-10-03,-1.3115197711444233,-1.4477481091051583,-0.7113190132346002
2018-10-04,-0.6487485977532,-1.0698000828644179,-0.9178926972860708
2018-10-05,-0.5464232810739925,-0.8052364644959003,-1.331040065389011
2018-10-08,-0.13282030551284701,-0.7296468592477522,-1.847474275517687
2018-10-09,0.18756478713781316,-0.16272481988664073,-1.5376137494404818
2018-10-10,1.9083424913253788,0.29081281160224615,-1.5376137494404818
2018-10-11,2.4744508671648733,0.6687608378429866,-1.2277532233632757
2018-10-12,2.0006997870181706,0.7443504430911346,-1.331040065389011
2018-10-15,1.4837215879121162,0.5553764299707653,-1.4343269074147464
2018-10-16,1.0677243793546778,0.5931712325948385,-0.9178926972860703
2018-10-17,1.333546916318461,0.5931712325948385,-0.7113190132345996
2018-10-18,1.9075319585193764,0.7821452457152078,-0.8146058552603349
2018-10-19,1.914077965100344,0.7821452457152078,-0.608032171208865
2018-10-22,1.6935894138199856,0.7065556404670614,-0.7113190132346002
2018-10-23,1.834356312074677,1.273477679828171,-0.5047453291831296
2018-10-24,2.5311251575016085,1.3490672850763192,-0.7113190132345999
2018-10-25,2.5203361073218438,1.5758361008207635,-0.9178926972860705
2018-10-26,2.6010200003647728,2.1049633375577983,-0.7113190132346002
2018-10-29,2.777594301946224,1.915989324437429,-0.6080321712088652
2018-10-30,2.60474451459251,2.3317321533022426,-0.40145848715739463
2018-10-31,2.2379993562741225,2.0293737323096503,-0.8146058552603355
2018-11-01,2.0351964744974973,2.2561425480540946,-0.29817164513165934
2018-11-02,1.2009111026764618,1.4246568903244674,-0.19488480310592404
2018-11-05,1.1270321600524182,1.311272482452246,0.32154940702275187
2018-11-06,0.8906324051775655,1.1600932719559498,0.6314099330999572
2018-11-07,0.13800319891856327,0.5175816273466904,0.7346967751256925
2018-11-08,-1.4744169328318448,0.02624919323372864,0.8379836171514279
2018-11-09,-1.6663715941610397,0.29081281160224615,0.4248362490484866
2018-11-12,-0.41151112561105335,0.4419920220985423,0.6314099330999572
2018-11-13,-0.49090765677337633,1.3112724824522444,0.7346967751256925
2018-11-14,0.4136393247576999,1.840399719189281,0.4248362490484866
2018-11-15,0.23104143233504165,2.2939373506781693,0.6314099330999572
2018-11-16,-0.7150511748111714,2.3317321533022426,0.4248362490484866
2018-11-19,-0.26502224387822926,2.596295771670762,0.21826256499701657
2018-11-20,0.2408301246518715,2.860859390039279,0.21826256499701657
2018-11-21,-0.2582119610477261,2.029373732309652,0.4248362490484872
2018-11-23,-1.1014649458356012,1.9537841270615022,0.7346967751256932
2018-11-26,-1.5621025393119055,1.3490672850763175,0.7346967751256929
2018-11-27,-1.6239037431965602,1.5758361008207618,0.7346967751256929
2018-11-28,-1.5204351103307776,1.1600932719559482,0.6314099330999577
2018-11-29,-1.107118985912011,1.3490672850763175,0.9412704591771635
2018-11-30,-0.9112823749809769,1.6136309034448366,1.2511309852543688
2018-12-03,-1.2936146584961115,1.6136309034448366,1.9741388794345154
2018-12-04,-0.37252391985026745,1.9537841270615022,2.1807125634859856
2018-12-06,1.4197493358213205,3.2010126136559447,2.1807125634859856
2018-12-07,1.7065789297670202,3.3143970215281677,2.0774257214602505
2018-12-10,1.460654199256759,3.0120386005355737,1.974138879434515
2018-12-11,0.6230917192002506,2.709680179542985,2.0774257214602505
2018-12-12,0.6510541436067782,1.7270153113170597,1.7675651953830445
2018-12-13,0.2679943442900401,1.3112724824522426,1.6642783533573098
2018-12-14,0.6821024217862063,1.1222984693318734,1.5609915113315744
2018-12-17,1.5537991794010944,1.311272482452246,1.767565195383045
2018-12-18,1.3034608244291255,1.5758361008207618,1.6642783533573098
2018-12-19,0.846152245275223,1.727015311317058,1.974138879434515
2018-12-20,1.5575344775449698,3.0876282057837234,1.974138879434515
2018-12-21,2.081594641835976,3.4655762320244623,1.3544178272801037
2018-12-24,2.712381217973345,3.8057294556411283,0.9412704591771628
2018-12-26,2.576550028038483,3.994703468761501,0.7346967751256924
2018-12-27,2.494877386276657,3.8435242582652047,0.6314099330999574
2018-12-28,2.3936633738188635,3.7679346530170545,0.9412704591771628
2018-12-31,1.9330657682978816,3.994703468761501,0.5281230910742221
2019-01-02,1.7468031722982331,3.8057294556411283,0.9412704591771628
2019-01-03,2.4660991131863677,4.4860359028744625,0.21826256499701616
2019-01-04,0.8382881467805913,2.671885376918908,-0.19488480310592463
2019-01-07,-0.16827044997614599,1.840399719189281,-0.6080321712088654
2019-01-08,-0.4199090039256454,0.3664024168503959,-0.2981716451316596
